,Model
2,Terry Gilliam
5,Germany
6,Adolf Hitler and Carl Diem
9,Ernest Hemingway
12,Dick Fosbury
13,Grenoble
17,West Germany
18,Seb Coe
19,Moscow
20,Spain
23,"Athletics, Tennis, Gymnastics"
27,"Australia, USA, Germany"
34,Sarah Stevenson
35,Sweden
36,Russia
40,Steve Carell
53,Hugo
60,Hedda Hopper
61,Roald Dahl
62,Honda
63,George Eliot
64,U2
65,Maroon 5
71,John Mills
83,Morocco
84,Algeria
87,Niger
88,"Lagos, Nigeria"
89,Mozambique
95,Edith Wharton
98,Harrison Ford
100,Southwest Airlines
102,Cyprus
103,Robin Williams
109,British Columbia
111,Warner Bros.
120,Colin Farrell
121,Russia
127,Noble Warrior
133,"""The 39 Steps"""
134,North by Northwest
137,Algiers
139,Tennessee
146,Clueless
147,Ridley Scott
158,"Calista Flockhart, Cameron Diaz, Uma Thurman"
159,Calista Flockhart
160,Cameron Crowe
161,Heat
166,F. Murray Abraham
167,Andrew Garfield
170,Ulysses S. Grant
173,Jordin Sparks
174,Carrie Underwood
175,Randy Jackson
