,Model
2,Terry Gilliam
5,Germany
6,"Adolf Hitler, Johannes von Kotze"
9,Ernest Hemingway
12,Dick Fosbury
13,Grenoble
17,West Germany
18,Seb Coe
19,Moscow
20,Spain
23,"Athletics, Tennis, Wrestling"
27,"Australia, United States, Germany"
34,Sarah Stevenson
35,Sweden
36,Russia
40,Steve Carell
53,"Hugo, Martin Scorsese's 2011 drama film"
60,Hedda Hopper
61,Roald Dahl
62,Honda
63,George Eliot
64,U2
65,Maroon 5
71,John Mills
83,Morocco
84,Algeria
87,Amazon
88,"Lagos, Nigeria"
89,Mozambique
95,Edith Wharton
98,Harrison Ford
100,Southwest Airlines
102,Cyprus
103,Robin Williams
109,British Columbia
111,Warner Bros.
120,Colin Farrell
121,Russia
127,Istar Aramis
133,"""The 39 Steps"""
134,North by Northwest
137,Algiers
139,Tennessee
146,Clueless
147,Ridley Scott
158,"Calista Flockhart, Camren Bicondova, Lucy Liu"
159,Calista Flockhart
160,Cameron Crowe
161,Heat
166,F. Murray Abraham
167,Andrew Garfield
170,Ulysses S. Grant
173,Jordin Sparks
174,Carrie Underwood
175,Randy Jackson
176,"Navajo, Cherokee, Lakota Sioux"
178,John F. Kennedy
179,Theodore Roosevelt
180,California
181,"Colombia, Peru, Argentina"
189,Scissor Sisters
190,The Sex Pistols
191,Spain
192,Granada
193,"South America, specifically the Andes Mountains"
194,Pyrenees
196,Las Vegas
201,Gianni Versace
206,Drums
208,The Smiths
210,Gollum
212,Pittsburgh
217,Marcheline Bertrand
224,Democratic Republic of the Congo
225,The Zambezi River
227,AC/DC
230,"""Up, released by DreamWorks Animation, is the highest-grossing film worldwide of 2009 so far (May 2009)."""
234,Martin Scorsese
244,Brideshead Revisited
259,Benny Goodman
262,Win Butler
266,Buenos Aires
267,Juan Domingo Perón
269,Earth
270,Uranus
271,Plato
275,Jerry Bruckheimer
281,2001: A Space Odyssey
283,Boston Pops Orchestra
290,Piano
296,Michel Hazanavicius
300,"No, there is no Christian-majority country in Asia."
306,India
307,Abraham Lincoln
309,Memphis
318,Fats Domino was the first white music star to record on Atlantic through its sister label Atco.
321,Madeira
325,My Fair Lady
327,Georgia
331,Mike Myers
334,Glenrowan
335,Western Australia
336,Western Australia
337,South Australia
338,Don Bradman
340,Cricket
342,Vienna
344,German
349,Martin Scorsese
354,Portugal
356,New York Yankees
