,Model
9043,"Comedy, Musical"
2984,"1999, 2004, 2011, 2007, 1948, 1939, 1947, 1953, 1938, 2009, 1941, 2011"
10223,"Comedy, Drama"
10876,"Drama, Thriller"
10672,"English, German, French, Vietnamese"
2054,"Burt Reynolds, Ron Underwood, S.S. Wilson, Gareth Edwards"
542,1996
13622,"Jared Moshe, Scott Spiegel, George A. Romero, Sam Raimi, Ethan Coen"
1935,"2010, 1971, 1996, 1994, 1991, 2014, 2009, 1968, 1962, 1986, 1995, 1968, 1982, 1968, 1989, 1982, 1966, 1982, 1962, 1948, 1943, 1943, 1948, 1950, 1948, 1958, 1991, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 1996, 199"
2995,Julie Benz
4764,"1991, 1996, 2012"
10884,"Woody Allen, Mia Farrow, Diane Keaton, Christopher Reeve, Mary Wesley, and Michael Murphy"
12101,"English, German"
10687,"English, possibly British English"
6053,"French, Italian, German, Dutch, Spanish, Hmong, Hindi, Brazilian Portuguese"
3978,"Charles B. Griffith, Roger Corman, Tim Burton, George A. Romero, Howard Ashman"
1039,"Michael Caine, Cliff Robertson, Harry Andrews, Ian Bannen"
9185,"Comedy, Drama, Music"
