,Model
9043,Comedy
2984,2004
10223,Comedy
10876,Not provided in the context.
10672,"English, Greek (Dogtooth)"
2054,"Jonathan Mostow, Ron Underwood, S.S. Wilson, Brent Maddock (Tremors directors) are not directly linked to The Social Network, so their involvement as directors of films written by the writer of Tremors cannot be determined from the given context."
542,1996
13622,Jared Moshe (is not written by any of the movies sharing actors with Dead Man's Burden)
1935,2010
2995,"David Hewlett, Andrew Miller"
4764,"The Canal, Side by Side released, The Pervert's Guide to Ideology and My Own Private Idaho did not provide release dates in the context."
10884,"Woody Allen, Mia Farrow, and Diane Keaton"
12101,"English, Scottish"
10687,"English, possibly British English"
6053,"french, english"
3978,Roger Corman
1039,"Cliff Robertson, Harry Andrews, Ian Bannen"
9185,"Drama, Music"
11331,1965 (The Shop on Main Street)
13998,"Drama, film (implied for all films sharing actors with Street Scene)"
2009,"1972, 1974, 1977, 1979, 1997, 1999, 2007, 2010, 2012"
13002,"Carlos Pedraza, J.T. Tepnapa, Sebastian Gutierrez"
5359,Robert Louis Stevenson (writer of Treasure Island) did not act in any movies.
1053,"Megumi Hayashibara, Claude Lelouch (as both writer and director)"
1533,"Geraldine Chaplin, Anthony Perkins"
7988,"Comedy, Drama"
11582,"1955 (The Trouble with Harry), unknown (The Social Network, as question does not specify)"
9891,Nadine Labaki
5459,Rowland V. Lee
1121,1957 (for Boy on a Dolphin)
2879,"Howard Estabrook, Hugh Walpole"
5640,"Scarface, Waxworks, Almost Famous, Sleuth, Sinister, The Raven"
9455,Comedy
8025,1939 (The Secret of Dr. Kildare)
8310,Comedy
3035,"Patrick Maléon, François Truffaut, Jean Dasté, Nathalie Baye"
14046,"The Pervert's Guide to Ideology, The Social Network"
3058,2006 (for Half Light)
4985,Theodore J. Flicker
10104,spaghetti western
8661,"Comedy, The Social Network (assuming the question refers to David Fincher, who directed both The Social Network and She's All That)"
5376,1946
168,Alejandro González Iñárritu
4767,"Action, Fantasy"
7824,George Sidney
736,1937 (for Make Way for Tomorrow)
5880,"Maurice Chevalier, Jeanette MacDonald"
7585,Thriller
13924,Ed Sullivan
11416,Richard Emery Roberts
3794,Alain Corneau
9420,Action
3206,Anita Loos
7836,"2008 (City of Ember), Unknown (written by Caroline Thompson)"
8878,"William Hurt, Viggo Mortensen"
7621,1988 (for Scarecrows)
3184,"English, no specific language mentioned for Pee-wee's Big Adventure."
4639,1979 (The Tin Drum)
6018,"film, language"
9081,Not provided in the context
12576,1935 (for Toni)
6247,Comedy
6805,Not provided in the context.
5117,"Setsuko Hara, Ken Uehara"
3425,English
7814,Comedy
290,Xavier Dolan (not specified)
304,"drama, film"
5217,David Fincher (director of Incendies) did not act in any movies.
4245,1939 (Beau Geste)
8506,Alexandre Moors
11790,"German, Writer"
3813,1999 (Ratcatcher)
8624,"Spanish, Catalan"
9481,Anton Corbijn (director of The American) also directed movies in English.
7213,Jimmy McGovern
5996,War
10164,"Christopher Walken, Matthew Broderick"
6435,"Drama, The Lost Weekend"
10241,"Comedy, Drama"
2974,"language, africa"
7105,Arnold Fanck
5404,"Delmer Daves, David Goodis"
993,Not provided in the context.
11993,Not specified in the context.
10243,"2007 (Just Another Love Story, Sleuth)"
10062,English
8672,Comedy
5683,"Mads Mikkelsen, Patricia Velásquez, and Armin Mueller-Stahl"
10826,"Japanese, language"
6412,"1977, (no other film in the context shares a director with A Piece of the Action)"
11511,"Jamaican, English"
1323,Isabella Rossellini
4921,Christopher Menaul
8761,"Film, Italian"
12935,"Haley Joel Osmond, Steven Spielberg (A.I. Artificial Intelligence), not provided (The rest of the movies)"
13646,"Lewis Carroll, Joseph L. Mankiewicz"
2270,"George DiCenzo, Jeremy Davies, Steve Railsback"
410,"Action, science fiction, dystopia"
12415,"Julianne Moore, Woody Harrelson, Ed Harris"
14163,1972 (The Offence)
169,"Horror, Drama, Erotic"
4464,Comedy
327,"Vincent D'Onofrio, Marisa Tomei"
4189,"Christian Slater, Morgan Freeman, Randy Quaid, Minnie Driver"
5129,"Om Puri, Aasif Mandvi"
2184,"Comedy, Drama"
2412,"War and Peace (1956), War and Peace (1968), War and Peace (1972)"
5740,"Comedy, Thriller"
5775,"Brock Peters, Jaime Sánchez, Rod Steiger, Geraldine Fitzgerald"
14194,Olli Saarela
9824,"Michelle Pfeiffer, Harrison Ford"
1923,Not specified in the context.
9384,William Castle
4520,"Robin Johnson, Trini Alvarado, Tim Curry"
8180,Thriller
8719,Drama
5896,"Comedy, Drama"
6935,Budd Boetticher
5743,German
10990,"George A. Romero, Lewis Carroll"
8827,"Adventure, Science Fiction, Drama"
4914,"2001 (The Tiger and the Snow), 2004 (The Saddest Music in the World)"
8499,Gore Verbinski
7632,"Sci-Fi, Horror"
353,Thom Fitzgerald
13868,"Thriller, Religious"
11861,1944 (for Hollywood Canteen)
4010,Crime
6661,"Bernardo Bertolucci, the director of The Strange Case of Angelica, is known for genres such as Drama and Art House."
