,Model
9043,"Comedy, Drama"
2984,"1999, 2004"
10223,"Comedy, Romantic Comedy"
10876,"Joan Didion, John Gregory Dunne"
10672,"Dutch, English, Kinyarwanda"
2054,Not provided (Tremors was not mentioned in the context)
542,1996
13622,Jared Moshe
1935,"2010, 1984, 2012"
2995,"John Cusack, Jude Law"
4764,The given context does not contain any information about films written by the writers of My Own Private Idaho.
10884,"Woody Allen, Mia Farrow, and Christopher Walken"
12101,"Dutch, Kinyarwanda"
10687,"English, possibly British English"
6053,"French, Spanish, German"
3978,Roger Corman
1039,"Cliff Robertson, Harry Andrews, Ian Bannen, Robert Aldrich (also directed)"
9185,"Music, Drama"
11331,"1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 1965, 196"
13998,"Street Scene, Sunset Park, Edge of the City, On the Road, Bright Lights, Big City, The Hustler, It Runs in the Family, The Field, The Imitation Game, American Beauty, The Special Relationship, Parkland, In This World, Flashdance, The Fountain, The Notebook, Our Town, The Great Gatsby, It's a Wonderful Life, People I Know, San Francisco, American Gigolo, Gang Related, The Dupes, Les Misérables, Lawrence of Arabia, The King and I, Men with Guns, A World Without Thieves, The Perks of Being a Wallflower, Dead Ringers, Death of a Salesman, Beyond Borders, The Girl in the Café, New Town Killers, Say Anything..., Bent, Casablanca, Intimate Relations, Wicker Park, The Bridge of San Luis Rey, Stomp the Yard, The Bridges of Madison County, Crossroads, Beyond the Lights, Vicky Cristina Barcelona, Garden Party, London, Raging Bull, Clash by Night, Powwow Highway, Southland Tales, Rent, Fruitvale Station, Ordinary People, Jailhouse Rock, Argo, Beasts of the Southern Wild, Three Strangers, Hard, Fast and Beautiful, Washington Square, Assault on Wall Street, Park Row, The Babysitters, Metro Manila, Man About Town, The Merchant of Venice, East Side, West Side, Art School Confidential, A True Mob Story, The Life Aquatic with Steve Zissou, No Country for Old Men, The Place Beyond the Pines, A Walk Among the Tombstones, Top Gun, I Am a Fugitive from a Chain Gang, High Heels and Low Lifes, An Officer and a Gentleman, The Forgotten, Almost Famous, Stranger by the Lake, Into the Wild, St. Vincent, Nothing in Common"
2009,"1954, 2000, 2012"
13002,"Carlos Pedraza, J.T. Tepnapa, Sebastian Gutierrez"
