,Model
3710,Big Jake was directed by George Sherman
5313,"Drama, Comedy, The Front, Journalism, 1931"
5479,"Action, 2005, Steven Seagal, William Hope, Christine Adams"
1253,"Riders of the Purple Sage, Altered States"
9668,Doc of the Dead
1496,"Robert Shaw, Martin Ritt, Jon Voight, Jacqueline Bisset, Robert Shaw"
789,The Great Ecstasy of Woodcarver Steiner
2020,"Candice Azzara, James Signorelli, Joe Pesci, Joel Kinnaman, Rodney Dangerfield"
3018,Luke Greenfield
7692,"1949, 1998"
1880,Not provided in the context.
3122,Richard Thorpe
3316,Angelopoulos
8313,2012
590,"They Drive by Night, City for Conquest, Black Legion, Torrid Zone, Castle on the Hudson, Angels with Dirty Faces, George Washington Slept Here, Dodge City, Kings Row, I Was a Male War Bride, The Opposite Sex"
106,"The Girl on a Motorcycle, Hamlet"
4556,Not provided (Robin and Marian is not a film in the provided context)
1791,"Lainie Kazan, John Cusack, Meredith Salenger, Ray Wise, John Heard, Vanessa Williams"
2012,Heather Matarazzo
1516,"Madge Evans, Lionel Barrymore, Kay Francis"
6333,"John Monk Saunders, Howard Hawks, Edmund Goulding, C.S. Forester"
6849,"Mauricio Zacharias, Ira Sachs"
7379,2011
35,The Amazing Catfish
8497,2002
8397,1988
3286,Sidney J. Furie
2127,"Warwick Davis, Jennifer Aniston"
5328,"Drama, War"
3060,Sam Peckinpah
8406,2009
9210,Formosa Betrayed
1369,"Blackfish, Who the Hell Is Juliette?"
8598,1992
3918,Horror
735,"When Harry Met Sally..., The Return of Swamp Thing, The Tall Guy, Indiana Jones and the Last Crusade, Fat Man and Little Boy, Troop Beverly Hills, Little Monsters, Field of Dreams, Stepfather II, Driving Miss Daisy, Lauderdale, Casablanca Express, Beyond the Stars, The Man Who Played God, The Little Mermaid, The Terror Within, Killer Crocodile, Licence to Kill, Weekend at Bernie's, Blind Fury, The Secret Life of Zoey, The Odd Life of Timothy Green, The Horror Show, Pet Sematary, The Toxic Avenger Part II, Fried Green Tomatoes, Bashu, the Little Stranger, All Dogs Go to Heaven, Hider in the House, The Legend of Lylah Clare, Born on the Fourth of July, Say Anything..., Honey, I Shrunk the Kids, Reunion, I, Madman, The Big Picture, Santa Sangre, Cannibal Women in the Avocado Jungle of Death, Baxter, The Departed, Amanece, que no es poco, Shocker, The Killer, Donnie Brasco, Look Who's Talking, The Karate Kid, Part III, An Innocent Man, The Karate Kid, Part II, The Karate Kid, Part I, Next of Kin, The Karate Kid, Part IV: The Next Generation, An Officer and a Gentleman, The Karate Kid, Part V: Deadly Alliance, The Karate Kid, Part VI: The Tournament, The Karate Kid, Part VII: The Final Fight, The Karate Kid, Part VIII: The Next Generation, The Karate Kid, Part IX: The New Generation, The Karate Kid, Part X: The Ultimate Challenge, The Karate Kid, Part XI: The Next Karate Kid, The Karate Kid, Part XII: The Next Karate Kid Strikes Again, The Karate Kid, Part XIII: The Next Karate Kid: The Final Fight, The Karate Kid, Part XIV: The Next Karate Kid: The Final Fight, The Karate Kid, Part XV: The Next Karate Kid: The Final Fight, The Karate Kid, Part XVI: The Next Karate Kid: The Final Fight, The Karate Kid, Part XVII: The Next Karate Kid: The Final Fight, The Karate Kid, Part XVIII: The Next Karate Kid: The Final Fight, The Karate Kid, Part XIX: The Next Karate Kid: The Final Fight, The Karate Kid, Part XX: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXI: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXII: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXIII: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXIV: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXV: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXVI: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXVII: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXVIII: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXIX: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXX: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXXI: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXXII: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXXIII: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXXIV: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXXV: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXXVI: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXXVII: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXXVIII: The Next Karate Kid: The Final Fight, The Karate Kid, Part XXXIX: The Next Karate Kid: The Final Fight, The Karate Kid, Part XL: The Next Karate Kid: The Final Fight, The Karate Kid, Part XLI: The Next Karate Kid: The Final Fight, The Karate Kid, Part XLII: The Next Karate Kid: The Final Fight, The Karate Kid, Part XLIII: The Next Karate Kid: The Final Fight, The Karate Kid,"
9177,"Casino Royale, Quantum of Solace, Skyfall, The World Is Not Enough, Return to Sender"
8317,2006
4375,Horror
1261,"La otra familia, Al otro lado"
4879,Drama
5298,"Drama, directed_by Martha Fiennes"
8218,1973
1606,"Christian Bale, Charlton Heston"
5566,"Comedy, 2012, written by Jon Hurwitz and Hayden Schlossberg, starring Samuel West and Alan Cumming."
3548,Abbas Kiarostami
6483,"Richard Llewellyn, Philip Dunne"
8196,"1978, 1980, 2006, 2011"
5700,"Monte Carlo, musical, comedy, adventure, fantasy"
4417,"Adventure, Comedy, Action"
3059,Chris Stokes
119,Beatriz Batarda acted in Miami Rhapsody.
3524,Kevin James
4345,Horror
8603,1945
5205,Not provided in the context.
7493,1940
1803,"Gary Oldman, Alfred Molina, Vanessa Redgrave, Wallace Shawn"
4002,"Drama, Western"
7461,1999
2389,"Hugh Laurie, Allison Janney, Oliver Platt, Alia Shawkat, Julian Farino (director), Colin Hanks"
3742,George Cukor
1618,"Eric Lively, Dustin Milligan, Gina Holden, Erica Durance, Elden Henson"
8329,1954
850,"Shall We Kiss?, Going Hollywood, Molière, Mouchette, Inglourious Basterds, Monsieur Verdoux, The Life Aquatic with Steve Zissou"
2412,"Liam Neeson, January Jones, Diane Kruger, Aidan Quinn, Bridget Moynahan"
5138,French
5603,"Action, Hell Ride"
2417,"Patrick O'Neal, Mary Woronov"
33,"The Night Stalker, Mrs. Pollifax-Spy, The Challenge, Billy Madison, The Right Stuff, Personal Best, Silverado, Scott Glenn starred in The Challenge as well."
733,"The Dark Crystal, The Muppets Take Manhattan, Bowfinger, Death at a Funeral, The Indian in the Cupboard"
9698,"Up in the Air, Thumbsucker"
9140,"The Canterbury Tales, Oedipus Rex, The Decameron"
2498,"Anushka Sharma, Sanjay Dutt, Aamir Khan"
5680,"Western, Gold"
96,"Without Warning, The Desperados, God's Gun, Ten Seconds to Hell, The Big Knife, Panic in the Streets, Bram Stoker's Dracula, Hawk the Slayer, Chato's Land, Attack, Torture Garden, Arrowhead, Halls of Montezuma, Sudden Fear, The Swan Princess."
3605,Darren Aronofsky
6391,Richard Price
2128,"Alina Levshin, Michelle Rodriguez"
4700,Documentary
799,"I'm the One That I Want, It's My Party"
4339,Comedy
31,Fires on the Plain
8314,2012
8763,"Higher Ground, Closer to the Moon, Joshua, Goats, Orphan, Down to the Bone, The Judge, At Middleton, The Conjuring, Source Code, Dummy."
5278,"Drama, Family"
1330,"The Green Mile, The Match"
1383,The Northerners
7915,1993
1981,"Tim Roth, Thandie Newton, Tupac Shakur"
3016,Hal Ashby
6715,"Charles Dance, William J. Locke"
7072,"Matt Lang, Brian Holden, Nick Lang"
2894,Mike Nichols
7585,2001
9130,Swimming
1825,"Florence Darel, Anne Teyssèdre, Hugues Quester"
8634,"The Girl Next Door, Captivity, The Quiet, House of Wax, My Sassy Girl, Breakaway"
3132,"Robert Benton, Glenn Gordon Caron"
1512,"John Malkovich, Irène Jacob"
8993,"Humoresque, Three Strangers, Johnny Belinda, The Pleasure Seekers, The Best of Everything, The Rains of Ranchipur, Nobody Lives Forever, Daddy Long Legs, The Mask of Dimitrios, Boy on a Dolphin, Three Came Home, How to Marry a Millionaire, Three Coins in the Fountain, Phone Call from a Stranger"
39,A Modern Affair
7469,2012
1543,"Quinton Aaron, Sandra Bullock, Tim McGraw"
9329,Dead in Tombstone
9396,"Don't Worry, I'm Fine, Welcome"
7459,1968
6853,Sidney Sheldon
2485,"Rachel McAdams, Owen Wilson, Marion Cotillard, Adrien Brody"
9809,Freddy Got Fingered
9816,"Higher and Higher, Poor Little Rich Girl, Down Argentine Way, Double Dynamite, Boom Town, A Chump at Oxford, and Remember the Night"
4080,Western
1562,"Peggie Castle, Peter Graves"
4963,Drama
7969,2012
6605,Neil Simon
1891,"Don Michael Paul, Yuji Okumoto, Chris Makepeace, Kirstie Alley, John Cusack"
3011,Stephen Frears
1175,"Piranha 3DD, Feast"
5457,"Comedy, directed by Kamal Tabrizi, released in 2004."
3542,Aram Avakian
29,Faces of Death IV
1833,"Damien Nguyen, Bai Ling, Nick Nolte"
9568,"Deadfall, Filmistaan"
