,Model
3710,George Sherman
5313,"Drama, The Front Page, Comedy"
5479,"Action, submarine, Steven Seagal"
1253,"Riders of the Purple Sage, Iron Will"
9668,Doc of the Dead
1496,"Jon Voight, Robert Shaw, James Woods, Jacqueline Bisset"
789,The Great Ecstasy of Woodcarver Steiner
2020,"Candice Azzara, Joe Pesci, Joel Kinnaman, Rodney Dangerfield, Geraldine Fitzgerald"
3018,Luke Greenfield
7692,1998
1880,"Rosanna Arquette, Beau Bridges, Eric Steven Stahl"
3122,Richard Thorpe
3316,Angelopoulos
8313,2012
590,"Edge of Darkness, The Unfaithful, San Quentin, The Man Who Came to Dinner, Dodge City, Kings Row, I Was a Male War Bride, The Opposite Sex, They Drive by Night, City for Conquest, Black Legion, Torrid Zone, Castle on the Hudson, Angels with Dirty Faces, George Washington Slept Here, The Black Cauldron, Powder Room, Black Legion, Torrid Zone, Castle on the Hudson, Angels with Dirty Faces, George Washington Slept Here, The Black Cauldron, Powder Room, Dead Husbands, The Railway Children, Ann Miller, Annie, The Raid, Red Dawn, When Ladies Meet, Nobody's Fool, Logan's Run, Lolita, Mulholland Falls, Boots and Saddles, The Prime of Miss Jean Brodie, Mrs. Henderson Presents, The Neon Bible, The Lonely Passion of Judith Hearne, The Relic, From Here to Eternity, The Bonfire of the Vanities, Red Dawn, The Trouble with the Truth, The Woman in Red, Tin Pan Alley, Stella Dallas, In Old Chicago, The Pumpkin Eater, Life Stinks, The Lonely Passion of Judith Hearne, The Relic, From Here to Eternity, The Bonfire of the Vanities, Red Dawn, The Trouble with the Truth, The Woman in Red, Tin Pan Alley, Stella Dallas, In Old Chicago, The Pumpkin Eater, Life Stinks, The Lonely Passion of Judith Hearne, The Relic, From Here to Eternity, The Bonfire of the Vanities, Red Dawn, The Trouble with the Truth, The Woman in Red, Tin Pan Alley, Stella Dallas, In Old Chicago, The Pumpkin Eater, Life Stinks, The Lonely Passion of Judith Hearne, The Relic, From Here to Eternity, The Bonfire of the Vanities, Red Dawn, The Trouble with the Truth, The Woman in Red, Tin Pan Alley, Stella Dallas, In Old Chicago, The Pumpkin Eater, Life Stinks, The Lonely Passion of Judith Hearne, The Relic, From Here to Eternity, The Bonfire of the Vanities, Red Dawn, The Trouble with the Truth, The Woman in Red, Tin Pan Alley, Stella Dallas, In Old Chicago, The Pumpkin Eater, Life Stinks, The Lonely Passion of Judith Hearne, The Relic, From Here to Eternity, The Bonfire of the Vanities, Red Dawn, The Trouble with the Truth, The Woman in Red, Tin Pan Alley, Stella Dallas, In Old Chicago, The Pumpkin Eater, Life Stinks, The Lonely Passion of Judith Hearne, The Relic, From Here to Eternity, The Bonfire of the Vanities, Red Dawn, The Trouble with the Truth, The Woman in Red, Tin Pan Alley, Stella Dallas, In Old Chicago, The Pumpkin Eater, Life Stinks, The Lonely Passion of Judith Hearne, The Relic, From Here to Eternity, The Bonfire of the Vanities, Red Dawn, The Trouble with the Truth, The Woman in Red, Tin Pan Alley, Stella Dallas, In Old Chicago, The Pumpkin Eater, Life Stinks, The Lonely Passion of Judith Hearne, The Relic, From Here to Eternity, The Bonfire of the Vanities, Red Dawn, The Trouble with the Truth, The Woman in Red, Tin Pan Alley, Stella Dallas, In Old Chicago, The Pumpkin Eater, Life Stinks, The Lonely Passion of Judith Hearne, The Relic, From Here to Eternity, The Bonfire of the Vanities, Red Dawn, The Trouble with the Truth, The Woman in Red, Tin Pan Alley, Stella Dallas, In Old Chicago, The Pumpkin Eater, Life Stinks, The Lonely Passion of Judith Hearne, The Relic, From Here to Eternity, The Bonfire of the Vanities, Red Dawn, The Trouble with the Truth, The Woman in Red, Tin Pan Alley, Stella Dallas, In Old Chicago, The Pumpkin Eater, Life Stinks, The Lon"
106,"The Girl on a Motorcycle, Hamlet, Irina Palm"
4556,Drama
1791,"Lainie Kazan, John Cusack, Ray Wise, Meredith Salenger, 1985"
2012,Heather Matarazzo
1516,"Lionel Barrymore, Madge Evans, Kay Francis"
6333,"C.S. Forester, Dudley Nichols, Howard Hawks, John Milius"
6849,Mauricio Zacharias
7379,2011
35,The Amazing Catfish
8497,2002
8397,1988
3286,Sidney J. Furie
2127,"Warwick Davis, Jennifer Aniston"
5328,"Drama, War"
3060,Sam Peckinpah
8406,2009
9210,Brian Askew is not mentioned in the provided context as a writer for any movie.
1369,Blackfish
8598,1992
3918,Horror
735,Sweetie
9177,"Casino Royale, Quantum of Solace, Skyfall, The World Is Not Enough, Johnny English, Stoned"
8317,2006
4375,"Horror, Drama"
1261,Al otro lado
4879,Drama
5298,"Drama, 2000 release_year, English in_language, good has_imdb_rating, Once Upon a Time in Mexico"
8218,1973
