,Model
3710,George Sherman
5313,"billy wilder, jack lemmon, walter matthau"
5479,"Action, martial arts, underwater thriller (assuming the context refers to a movie or game)"
1253,"Iron Will, Riders of the Purple Sage"
9668,Doc of the Dead
1496,"Jon Voight, Robert Shaw, Jacqueline Bisset, Martin Ritt"
789,The Great Ecstasy of Woodcarver Steiner
2020,"Joe Pesci, Rodney Dangerfield, Geraldine Fitzgerald, Candice Azzara"
3018,Luke Greenfield
7692,1998
1880,"Rosanna Arquette, Beau Bridges"
3122,Richard Thorpe
3316,Julie Bertuccelli
8313,2012
590,"Angels with Dirty Faces, I Was a Male War Bride, They Drive by Night, The Man Who Came to Dinner, Dodge City, Kings Row, Black Legion, City for Conquest, Edge of Darkness, San Quentin, George Washington Slept Here, The Opposite Sex, Torrid Zone, The Unfaithful, Castle on the Hudson"
106,"The Girl on a Motorcycle, Hamlet"
4556,Adventure
1791,"John Cusack, Ray Wise, Meredith Salenger, Lainie Kazan"
2012,Heather Matarazzo
1516,"Lionel Barrymore, Kay Francis, Madge Evans"
6333,John Monk Saunders
6849,"Ira Sachs, Mauricio Zacharias"
7379,2011
35,The Amazing Catfish
8497,2002
8397,1988-03-18
3286,Sidney J. Furie
2127,Warwick Davis
5328,"Samuel L. Jackson, Tommy Lee Jones, William Friedkin"
3060,Sam Peckinpah
8406,2009
9210,Formosa Betrayed
1369,Blackfish
8598,1992
3918,Horror
735,Sweetie
9177,"Skyfall, Casino Royale, Quantum of Solace, The World Is Not Enough, Johnny English, Stoned, Return to Sender"
8317,2006
4375,Horror
1261,"La otra familia, Al otro lado"
4879,Drama
5298,"musical, soundtrack, Irish, Dublin"
8218,1973
1606,Paolo Villaggio
5566,Franchise reunion movie
3548,Abbas Kiarostami
6483,Philip Dunne
8196,1978
5700,comedy
4417,"Comedy, Action, Adventure"
3059,Chris Stokes
119,Alice
3524,Frank Coraci
4345,Horror
8603,1945
5205,"English, Greek"
7493,1940
1803,"Gary Oldman, Alfred Molina, Vanessa Redgrave, Wallace Shawn"
4002,Action
7461,1999
2389,"Oliver Platt, Hugh Laurie, Allison Janney, Alia Shawkat"
3742,George Cukor
1618,"Dustin Milligan, Eric Lively, Gina Holden, Erica Durance"
8329,1954
850,Shall We Kiss?
2412,"Greg Kinnear, Jim Caviezel, Joe Pantoliano, Bridget Moynahan"
5138,French
5603,"Quentin Tarantino, Dennis Hopper, Vinnie Jones film"
2417,"Mary Woronov, Patrick O'Neal"
33,"The Night Stalker, Billy Madison, Mrs. Pollifax-Spy, The Challenge"
733,"The Dark Crystal, The Muppets Take Manhattan"
9698,"Up in the Air, Thumbsucker"
9140,There are no movies written by Geoffrey Chaucer.
2498,"Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani"
5680,super panavision 70
96,"The Swan Princess, Panic in the Streets, Attack, Chato's Land, Sudden Fear, The Big Knife, Hawk the Slayer, Halls of Montezuma, Without Warning, Torture Garden, Bram Stoker's Dracula, God's Gun, Arrowhead, Ten Seconds to Hell, The Desperados"
3605,Darren Aronofsky
6391,Richard Price
2128,Alina Levshin
4700,Documentary
799,"It's My Party, I'm the One That I Want"
4339,Horror
31,Fires on the Plain
8314,2012
8763,"The Departed, Source Code, The Conjuring, The Judge, Higher Ground"
5278,family
1330,The Match
1383,The Northerners
7915,1993
1981,"Tim Roth, Thandie Newton, Tupac Shakur"
3016,Hal Ashby
6715,"William J. Locke, Charles Dance"
7072,"Nick Lang, Matt Lang, Brian Holden"
2894,Jeffrey Fine
7585,2001
9130,Swimming
1825,"Florence Darel, Hugues Quester, Anne Teyssèdre"
8634,"The Girl Next Door, He Was a Quiet Man, The Quiet"
3132,Robert Benton
1512,"John Malkovich, Irène Jacob"
8993,"How to Marry a Millionaire, Titanic, Johnny Belinda, Humoresque, The Mask of Dimitrios, Road House, Phone Call from a Stranger, Three Came Home, Three Strangers, Nobody Lives Forever, The Mudlark"
39,A Modern Affair
7469,2012
1543,"Sandra Bullock, Tim McGraw, Quinton Aaron"
9329,Dead in Tombstone
9396,"Don't Worry, I'm Fine, Welcome"
7459,1968
6853,"Ranald MacDougall, Edna L. Lee"
2485,"Owen Wilson, Rachel McAdams"
9809,Freddy Got Fingered
9816,"Poor Little Rich Girl, Down Argentine Way, Higher and Higher, Stand Up and Cheer!"
4080,Western
1562,"Peter Graves, Peggie Castle"
4963,Drama
7969,2012-10-05
6605,Neil Simon
1891,"Yuji Okumoto, Chris Makepeace, Don Michael Paul"
3011,Alexis Dos Santos
1175,"Piranha 3DD, Feast"
5457,"Comedy, Religion (Movie: The Lizard)"
3542,Aram Avakian
29,Faces of Death IV
1833,"Nick Nolte, Bai Ling, Damien Nguyen"
9568,Deadfall
4791,Western
952,The Angry Red Planet
3963,Thriller
7020,Fabián Bielinsky
3782,"Tim Fehlbaum (is not the director of Hell, it is a book)"
1145,"Tarzan, Animals United"
960,"Charlotte Sometimes, 9500 Liberty"
3522,Stephen Finnigan
3375,Alan Rudolph
4982,Swedish
4768,Action
2236,"Jon Voight, Josh Lucas, Derek Luke"
3774,David Zucker
2340,"Isabelle Huppert, Emmanuelle Riva"
2304,"John Lithgow, Melinda Dillon, Joshua Rudoy, Margaret Langrick"
7497,2005
2868,Kevin Greutert
8956,"Skyfall, GoldenEye, Shakespeare in Love, Chocolat, Philomena, The Best Exotic Marigold Hotel, Notes on a Scandal, The Shipping News, Mrs Henderson Presents"
6660,Takashi Miike
576,"Transformers, 2 Fast 2 Furious, Four Brothers, Legion, Baby Boy, Waist Deep, The Take, Black Nativity"
5123,English
4362,Comedy
4271,Drama
304,"Masculin Féminin, Very Happy Alexander"
7100,Jack Schaefer
7898,1979
8265,1982
1578,"Johnny Knoxville, Bam Margera, Chris Pontius"
311,Transylmania
8217,1990
655,"The Last of the Mohicans, Pathfinder, 29 Palms"
6642,"Stanley Kubrick, Humphrey Cobb"
2818,Tony Palmer
765,I Was an Adventuress
7831,2007
80,Purely Belter
673,Jingle All the Way
7759,2007
4041,Drama
5337,"horror, supernatural, m. night shyamalan, devil"
2129,"Samuel L. Jackson, John Travolta, Connie Nielsen"
9528,"I Am Love, Melissa P."
92,"Watchmen, Little Children, A Nightmare on Elm Street, Breaking Away, Losin' It, The Bad News Bears Go to Japan, The Bad News Bears in Breaking Training, Dollman."
872,What! No Beer? (movie)
4483,"Comedy, Music"
3338,Laurent Cantet
3125,Alan J. Pakula
8131,2014
5406,beat generation
713,Dance with Me
7850,1947
5422,"Biographical drama about a transgender model, Gia."
6465,"Richard Brooks, Judith Rossner"
623,Destroy All Monsters
5515,"kristen bell, jay baruchel"
5286,"vigilante, charles bronson, michael winner"
3467,François Ozon
4484,Horror
2232,"James Garner, Dennis Weaver, Claude Akins"
1595,"Megan Fox, Will Arnett, William Fichtner, Alan Ritchson"
416,The Battery
8128,2013
3023,John Schultz
7726,1998-09-04
8079,1965
9189,The Greatest
3123,Not specified in the context
1768,John Carradine
4248,Crime
7787,2013
6119,"London, Keira Knightley, Colin Farrell"
4058,Animation
7415,2004
9051,Slim Susie
3328,Robert Z. Leonard
9071,"Oculus, Absentia"
2375,Isabelle Weingarten
3320,Alfred Hitchcock
8856,"Salò, or the 120 Days of Sodom, Teorema, The Gospel According to St. Matthew, The Decameron, Mamma Roma, Arabian Nights, Accattone, The Canterbury Tales, Oedipus Rex, The Hawks and the Sparrows, Medea, Ro.Go.Pa.G., Love Meetings, La rabbia"
1683,Yul Brynner
1671,"Robert Culp, Marlyn Mason, Beah Richards"
7551,2002
2867,Majid Majidi
3044,John McTiernan
2648,Woody Allen
2474,"Rinko Kikuchi, Nobuyuki Katsube, Shirley Venard, David Zellner"
7820,1985
4866,"Family, Sport"
7342,1945
5572,adam wingard
6310,Bill Forsyth
88,"Pretty Woman, Shallow Hal, The Hunchback of Notre Dame, North, Dunston Checks In, White Palace"
9260,"Three Days of the Condor, King Kong, The Parallax View, Sheena"
4656,Comedy
5321,Sitcom featuring Cedric the Entertainer
367,"Under the Same Moon, No Good Deed"
9138,A Hatful of Rain
6535,"John Huston, Truman Capote, Claud Cockburn"
1121,Neil Diamond did not direct anything (in the given context).
3971,Drama
3785,Not provided in the context
8048,2010
9000,The Blind Side
4367,Horror
8019,1953
388,Swamp Shark
4657,Drama
5333,James Marsh
3459,Peter Chelsom
4819,Drama
107,"Carmen, Otello"
251,"Dolphin Tale, Dolphin Tale 2, Convoy, Heaven's Gate, Big Top Pee-wee, A Star Is Born, Millennium, A Soldier's Daughter Never Cries, Semi-Tough, Flashpoint, Trouble in Mind, The Sailor Who Fell from Grace with the Sea, Rollover, Blume in Love, Pharaoh's Army, The Greening of Whitney Brown, Songwriter"
3079,Billy O'Brien
1616,Christian Slater
259,Children Shouldn't Play with Dead Things
4901,Family
2970,Chris Marker
7011,Rob Thompson
1446,"Moses Gunn, Irene Cara, Kevin Hooks"
4828,War
360,"Babes on Broadway, Best Foot Forward, The Lone Wolf Spy Hunt, The Youngest Profession"
2515,"Robert Wagner, Robert Mitchum"
1224,Jane Eyre
