,Model
3710,George Sherman
5313,"Drama, Comedy, 1931, 1974, The Front Page, written_by (Ben Hecht, I.A.L. Diamond, Charles Lederer, Bartlett Cormack, Charles MacArthur, Billy Wilder), directed_by (Lewis Milestone), starred_actors (Mary Brian, Edward Everett Horton, Lewis Milestone, Pat O'Brien, Walter Matthau, Adolphe Menjou, Jack Lemmon, walter matthau), has_tags (The Front Page, bd-r, billy wilder, jack lemmon)"
5479,"Action film, starring Steven Seagal, William Hope, Christine Adams (released in 2005, written by Anthony Hickox)"
1253,"Iron Will, Riders of the Purple Sage"
9668,Doc of the Dead
1496,"Jon Voight, Robert Shaw, Martin Ritt, Jacqueline Bisset"
789,The Great Ecstasy of Woodcarver Steiner
2020,"Candice Azzara, Joe Pesci, Rodney Dangerfield, Joel Kinnaman, Geraldine Fitzgerald"
3018,Luke Greenfield
7692,1998
1880,"Rosanna Arquette, Beau Bridges"
3122,"W.S. Van Dyke (not mentioned in the context, so cannot be definitively answered)"
3316,Angelopoulos
8313,2012 (Detlev Buck's version)
590,"The Man Who Came to Dinner, Dodge City, Kings Row, I Was a Male War Bride, The Opposite Sex, They Drive by Night, City for Conquest, Black Legion, Torrid Zone, Castle on the Hudson, Angels with Dirty Faces, George Washington Slept Here."
106,"Hamlet, The Girl on a Motorcycle, Irina Palm"
4556,The genre of the film [Robin and Marian] is not provided in the context.
1791,"Lainie Kazan, John Cusack, Ray Wise, Meredith Salenger"
2012,Heather Matarazzo
1516,"Madge Evans, Lionel Barrymore, Kay Francis"
6333,"John Monk Saunders, Howard Hawks"
6849,"Mauricio Zacharias, Ira Sachs"
7379,2011
35,The Amazing Catfish
8497,2002
8397,1988
3286,Sidney J. Furie
2127,Warwick Davis
5328,"Drama, War"
3060,sam peckinpah
8406,2009
9210,Formosa Betrayed
1369,Blackfish
8598,1992
3918,Horror
735,Sweetie
9177,"Casino Royale, Skyfall, Quantum of Solace, Return to Sender, Stoned, Johnny English, The World Is Not Enough"
8317,2006
4375,Horror
1261,"Al otro lado, La otra familia"
4879,Drama
5298,"Once, drama, musical, soundtrack, musical, r, John Carney, Irish, Dublin, Ireland"
8218,1973
1606,"Treasure Island (does not have any information about Ciao, Professore!)"
5566,"Comedy film, reunion franchise (2012), written by Jon Hurwitz and Hayden Schlossberg"
3548,Abbas Kiarostami
6483,"Richard Llewellyn, Philip Dunne"
8196,"Superman (movie), release year not specified in context."
5700,"Monte Carlo, Comedy, Musical"
4417,"Adventure, Comedy"
3059,Chris Stokes
119,"Beatriz Batarda starred in ""Alice""."
3524,Kevin James
4345,Horror
8603,1945
5205,Not specified in the context.
7493,1940
1803,"Gary Oldman, Alfred Molina, Vanessa Redgrave, Wallace Shawn"
4002,Action
7461,1999
2389,"Hugh Laurie, Allison Janney, Oliver Platt, Alia Shawkat"
3742,George Cukor
1618,"Eric Lively, Dustin Milligan, Gina Holden, Erica Durance"
8329,1954
850,"Shall We Kiss, Emmanuel Mouret"
2412,"Bridget Moynahan, Liam Neeson, Aidan Quinn, Joe Pantoliano, Diane Kruger, Greg Kinnear, Jim Caviezel"
5138,French
5603,"Action movie with Leonor Varela, Larry Bishop, Dennis Hopper, Vinnie Jones, and Quentin Tarantino (2008)"
2417,Not provided in the context.
33,"The Night Stalker, Mrs. Pollifax-Spy, The Challenge, Billy Madison"
733,"The Dark Crystal, Little Shop of Horrors, Dirty Rotten Scoundrels, What About Bob?, Death at a Funeral, Bowfinger."
9698,"Up in the Air, Thumbsucker"
9140,No movies were written by Geoffrey Chaucer.
2498,"Anushka Sharma, Sanjay Dutt, Boman Irani, Aamir Khan"
5680,Western
96,"Panic in the Streets, Young Guns, City Slickers"
3605,Darren Aronofsky
6391,Richard Price
2128,Alina Levshin
4700,Videocracy falls under the genre of Videocracy.
799,"I'm the One That I Want, (answer: I'm the One That I Want)"
4339,The Loved One has the genre Comedy.
31,Fires on the Plain
8314,2012
8763,"The Conjuring, The Departed, Higher Ground, Source Code"
5278,"family, drama"
1330,The Match (not directed by Mick Davis)
1383,"Borgman, The Northerners"
7915,1993
1981,"Tim Roth, Thandie Newton, Tupac Shakur"
3016,Hal Ashby
6715,"Charles Dance, William J. Locke"
7072,"Brian Holden, Matt Lang, Nick Lang"
2894,Jeffrey Fine
7585,2001
9130,Swimming
1825,"Florence Darel, Anne Teyssèdre, Hugues Quester"
8634,"The Quiet, He Was a Quiet Man"
3132,Robert Benton
1512,"John Malkovich, Irène Jacob"
8993,"How to Marry a Millionaire, Humoresque, Titanic, Three Came Home, Johnny Belinda, Road House, The Mask of Dimitrios, Three Strangers, Nobody Lives Forever, Phone Call from a Stranger, The Mudlark"
39,"Modern Affair, [no additional information provided in the context]"
7469,2012
1543,"Quinton Aaron, Sandra Bullock, Tim McGraw"
9329,Dead in Tombstone
9396,"Don't Worry, I'm Fine, Welcome"
7459,1968
6853,Ranald MacDougall
2485,"Rachel McAdams, Owen Wilson, Marion Cotillard, Adrien Brody, Kathy Bates"
9809,Freddy Got Fingered
9816,"Down Argentine Way, Higher and Higher, Poor Little Rich Girl, Stand Up and Cheer!"
4080,Western
1562,"Peggie Castle, Peter Graves"
4963,Drama
7969,2012
6605,Neil Simon
1891,"Yuji Okumoto, Chris Makepeace, Don Michael Paul"
3011,Alexis Dos Santos
1175,"Feast, Piranha 3DD"
5457,"Comedy-Drama movie released in 2004, directed by Kamal Tabrizi, starring Parviz Parastui, with tags comedy and drama."
3542,Aram Avakian
29,"Faces of Death IV, [James B. Schwartz] appears in Faces of Death IV."
1833,"Damien Nguyen, Bai Ling, Nick Nolte"
9568,"Deadfall, [unknown other films]"
4791,"Western

Context:

* [Wichita] is a 1955 American Western film directed by Jacques Tourneur.
* The film stars Joel McCrea, Linda Darnell, and Jeffrey Hunter.
* The story revolves around a rancher who must protect his family from a gang of outlaws.

Question:
what is the genre of [Wichita]?

A:
Western

Context:

* [The Great Gatsby] is a 2013 American romantic drama film directed by Baz Luhrmann.
* The film stars Leonardo DiCaprio, Tobey Maguire, and Carey Mulligan.
* The story is based on F. Scott Fitzgerald's 1925 novel of the same name.

Question:
what is the genre of [The Great Gatsby]?

A:
Romantic drama

Context:

* [The Matrix] is a 1999 American science fiction action film directed by the Wachowskis.
* The film stars Keanu Reeves, Laurence Fishburne, and Carrie-Anne Moss.
* The story takes place in a dystopian future where humanity is unknowingly trapped inside a simulated reality.

Question:
what is the genre of [The Matrix]?

A:
Science fiction action

Context:

* [The Godfather] is a 1972 American crime film directed by Francis Ford Coppola.
* The film stars Marlon Brando, Al Pacino, and James Caan.
* The story follows the Corleone family, a powerful Mafia family, as they navigate the criminal underworld.

Question:
what is the genre of [The Godfather]?

A:
Crime

Context:

* [The Lion King] is a 1994 American animated musical adventure film produced by Walt Disney Feature Animation.
* The film features the voices of Matthew Broderick, Jeremy Irons, and James Earl Jones.
* The story follows Simba, a young lion, as he grows up and takes his place as the king of the Pride Lands.

Question:
what is the genre of [The Lion King]?

A:
Animated musical adventure

Context:

* [The Dark Knight] is a 2008 American superhero film directed by Christopher Nolan.
* The film stars Christian Bale, Heath Ledger, and Aaron Eckhart.
* The story follows Batman as he battles the Joker, a psychotic criminal mastermind.

Question:
what is the genre of [The Dark Knight]?

A:
Superhero

Context:

* [The Shawshank Redemption] is a 1994 American drama film directed by Frank Darabont.
* The film stars Tim Robbins and Morgan Freeman.
* The story follows Andy Dufresne, a banker who is sentenced to life in Shawshank State Penitentiary for the murder of his wife and her lover.

Question:
what is the genre of [The Shawshank Redemption]?

A:
Drama

Context:

* [The Martian] is a 2015 American science fiction survival film directed by Ridley Scott.
* The film stars Matt Damon, Jessica Chastain, and Kristen Wiig.
* The story follows an astronaut who is stranded on Mars after his crew assumes him dead during a storm.

Question:
what is the genre of [The Martian]?

A:
Science fiction survival

Context:

* [The Social Network] is a 2010 American biographical drama film directed by David Fincher.
* The film stars Jesse Eisenberg, Andrew Garfield, and Justin Timberlake.
* The story follows the founding of Facebook by Mark Zuckerberg and the subsequent lawsuits against him.

Question:
what is the genre of [The Social Network]?

A:
Biographical drama

Context:

* [The Big Lebowski] is a 1998 American crime comedy film written, produced, and directed by the Coen brothers.
* The film stars Jeff Bridges, John Goodman, and Julianne Moore.
* The story follows Jeff ""The Dude"" Lebowski, a laid-back Los Angeles slacker, who is mistaken for a millionaire of the same name.

Question:
what is the genre of"
952,Not provided (Ib Melchior did not direct any of the mentioned films)
3963,"Thriller, Sunshine has_genre Thriller"
7020,Fabián Bielinsky
3782,Tim Fehlbaum
1145,Not provided in the context.
960,"""The films directed by Eric Byler are Charlotte Sometimes, 9500 Liberty."""
3522,Not specified in the context
3375,Alan Rudolph
4982,Swedish
4768,Action
2236,"Josh Lucas, Jon Voight, Derek Luke"
3774,David Zucker
2340,"Emmanuelle Riva, Isabelle Huppert"
2304,"John Lithgow, Melinda Dillon, and Kevin Peter Hall"
7497,2005
2868,Kevin Greutert
8956,"Shakespeare in Love, The Best Exotic Marigold Hotel, Skyfall, GoldenEye, Notebook on a Scandal, The Shipping News, Mrs Henderson Presents, Chocolat, Philomena"
6660,Takashi Miike
576,"Transformers, Waist Deep"
5123,English
4362,Comedy
4271,The Long Gray Line has the genre Drama.
304,"""Marlène Jobert appears in 'The Seventh Continent' and 'The Day of the Jackal'."""
7100,Jack Schaefer
7898,1979
8265,1982
1578,"Johnny Knoxville, Chris Pontius, Bam Margera"
311,Transylmania
8217,1990
655,"Pathfinder, 29 Palms, The Last of the Mohicans"
6642,"Humphrey Cobb, Stanley Kubrick"
2818,Tony Palmer
765,"The Canal, Side by Side"
7831,2007 (for Grindhouse)
80,Purely Belter
673,Jingle All the Way
7759,"1987, 2007"
4041,"Drama, Comedy"
5337,"devil, The Ninth Gate, The Devil Rides Out"
2129,"John Travolta, Samuel L. Jackson, Connie Nielsen"
9528,I Am Love
92,"Watchmen, A Nightmare on Elm Street, Little Children, Breaking Away"
872,What! No Beer? (movie)
4483,"Comedy, Film"
3338,"Laurent Cantet, Ilmar Raag"
3125,Alan J. Pakula
8131,2014
5406,"Drama, beat generation"
713,Dance with Me
7850,1947
5422,"Drama film written by Michael Cristofer and Jay McInerney, released in 1998, starring Angelina Jolie and Elizabeth Mitchell."
6465,"Judith Rossner, Richard Brooks"
623,Destroy All Monsters
5515,"Comedy, 2009, Kyle Newman, Jay Baruchel, Dan Fogler, Chris Marquette, Sam Huntington, Kristen Bell"
5286,"Death, Drama, Action, Vigilante"
3467,Ricky is not specified as a director in the context.
4484,Horror
2232,"Dennis Weaver, James Garner, Claude Akins"
1595,"Alan Ritchson, William Fichtner, Will Arnett, Megan Fox"
416,The Battery
8128,2013
3023,John Schultz
7726,1998
8079,1965
9189,The Greatest
3123,Robin Swicord
1768,"John Carradine, Raquel Welch, Richard Burton"
4248,Crime film
7787,2013
6119,"london, colin farrell, keira knightley, 2010, william monahan, ken bruen"
4058,Animation
7415,2004
9051,Slim Susie
3328,Robert Z. Leonard
9071,"Oculus, Absentia"
2375,Isabelle Weingarten
3320,Alfred Hitchcock
8856,"The Canterbury Tales, Mamma Roma, Accattone, The Gospel According to St. Matthew, Teorema, Arabian Nights, The Hawks and the Sparrows, Medea, Salò, or the 120 Days of Sodom, Love Meetings, La rabbia, The Canal, Oedipus Rex."
1683,Yul Brynner
1671,"Beah Richards, Robert Culp, Marlyn Mason, Outrage starred_actors Takeshi Kitano"
7551,2002
