,Model
3710,George Sherman
5313,"The Front Page, Drama, Comedy, The Front, Newsfront, 1931, The Front Page Woman, The Paper, The Front Line, The Words, Words and Pictures, Broadcast News, Carmina or Blow Up, East Side, West Side, The L-Shaped Room, Terms of Endearment, A Room with a View, The Guardian, The First Beautiful Thing, The L-Shaped Room, The Beach, The Social Network, The Subject Was Roses, Topsy-Turvy, Catch Me If You Can, Front of the Class, The Dark Side of the Sun, The Bonfire of the Vanities, The House on 56th Street, The Homesman, The Waiting Room, What Is It?, The Poll Diaries, Earth, Downstairs, Home Run, In the Beginning, AKA, The Official Story, Park Row, The Visitor, The Room, The Cement Garden, The Ashes, The Girl in the Park, The Beach, The Wall, Woman on Top, The Big Street, The Neon Bible, Radio Flyer, Traffic, Going My Way, The Good Earth, Under the Bombs, Island in the Sun, The Full Monty, Garden Party, Take the Lead, The Dark Side of the Sun, The Bonfire of the Vanities, The House on 56th Street, The Homesman, The Waiting Room, What Is It?, The Poll Diaries, Earth, Downstairs, Home Run, In the Beginning, AKA, The Official Story, Park Row, The Visitor, The Room, The Cement Garden, The Ashes, The Girl in the Park, The Beach, The Wall, Woman on Top, The Big Street, The Neon Bible, Radio Flyer, Traffic, Going My Way, The Good Earth, Under the Bombs, Island in the Sun, The Full Monty, Garden Party, Take the Lead, The Dark Side of the Sun, The Bonfire of the Vanities, The House on 56th Street, The Homesman, The Waiting Room, What Is It?, The Poll Diaries, Earth, Downstairs, Home Run, In the Beginning, AKA, The Official Story, Park Row, The Visitor, The Room, The Cement Garden, The Ashes, The Girl in the Park, The Beach, The Wall, Woman on Top, The Big Street, The Neon Bible, Radio Flyer, Traffic, Going My Way, The Good Earth, Under the Bombs, Island in the Sun, The Full Monty, Garden Party, Take the Lead, The Dark Side of the Sun, The Bonfire of the Vanities, The House on 56th Street, The Homesman, The Waiting Room, What Is It?, The Poll Diaries, Earth, Downstairs, Home Run, In the Beginning, AKA, The Official Story, Park Row, The Visitor, The Room, The Cement Garden, The Ashes, The Girl in the Park, The Beach, The Wall, Woman on Top, The Big Street, The Neon Bible, Radio Flyer, Traffic, Going My Way, The Good Earth, Under the Bombs, Island in the Sun, The Full Monty, Garden Party, Take the Lead, The Dark Side of the Sun, The Bonfire of the Vanities, The House on 56th Street, The Homesman, The Waiting Room, What Is It?, The Poll Diaries, Earth, Downstairs, Home Run, In the Beginning, AKA, The Official Story, Park Row, The Visitor, The Room, The Cement Garden, The Ashes, The Girl in the Park, The Beach, The Wall, Woman on Top, The Big Street, The Neon Bible, Radio Flyer, Traffic, Going My Way, The Good Earth, Under the Bombs, Island in the Sun, The Full Monty, Garden Party, Take the Lead, The Dark Side of the Sun, The Bonfire of the Vanities, The House on 56th Street, The Homesman, The Waiting Room, What Is It?, The Poll Diaries, Earth, Downstairs, Home Run, In the Beginning, AKA, The Official Story, Park Row, The Visitor, The Room, The Cement Garden, The Ashes, The Girl in the Park, The Beach, The Wall, Woman on Top, The Big Street, The Neon Bible, Radio Flyer, Traffic, Going My Way, The Good Earth, Under the Bombs, Island in the Sun, The Full Monty, Garden Party, Take the Lead, The Dark Side of the Sun, The Bonfire of the Vanities, The House on 5"
5479,"Action, 2005, Steven Seagal, Water-themed"
1253,"Riders of the Purple Sage, Iron Will"
9668,Doc of the Dead
1496,"Jon Voight, Robert Shaw, Jacqueline Bisset, Martin Ritt"
789,The Great Ecstasy of Woodcarver Steiner
2020,"Candice Azzara, James Signorelli, Joe Pesci, Joel Kinnaman, Rodney Dangerfield, Geraldine Fitzgerald"
3018,Luke Greenfield
7692,1998
1880,"Rosanna Arquette, Beau Bridges"
3122,W.S. Van Dyke
3316,Giorgi Shengelaia
8313,2012
590,"Dodge City, The Man Who Came to Dinner, They Drive by Night, Kings Row, I Was a Male War Bride, The Opposite Sex, Torrid Zone, Castle on the Hudson, Angels with Dirty Faces, Edge of Darkness, George Washington Slept Here, City for Conquest, San Quentin, The Unfaithful, Black Legion."
106,"The Girl on a Motorcycle, Irina Palm"
4556,Not provided in the context.
1791,"Lainie Kazan, John Cusack, Ray Wise, Meredith Salenger"
2012,Heather Matarazzo
1516,"Madge Evans, Lionel Barrymore, Kay Francis"
6333,John Monk Saunders
6849,"Ira Sachs, Mauricio Zacharias"
7379,2011
35,The Amazing Catfish
8497,2002
8397,1988
3286,Sidney J. Furie
2127,"Warwick Davis, Jennifer Aniston"
5328,"Drama, War"
3060,Sam Peckinpah
8406,2009
9210,"Formosa Betrayed, Formosa Betrayed"
1369,Blackfish
8598,1992
3918,Horror
735,Tom Lycos starred in Sweetie.
9177,"Casino Royale, The World Is Not Enough, Skyfall, Quantum of Solace, Stoned, Johnny English"
8317,2006
4375,Horror
1261,"Al otro lado, La otra familia"
4879,Drama
5298,"Glen Hansard, Drama"
8218,1973
1606,"The given context does not provide information about the film ""Ciao, Professore!""."
5566,"Reunion, comedy, 2012, written by Hayden Schlossberg and Jon Hurwitz."
3548,Abbas Kiarostami (not a director)
6483,"Richard Llewellyn, Philip Dunne"
8196,"1978, 1980, 1983, 2006, 2011, 2013"
5700,"Monte Carlo, Comedy, Musical, Three Little Words"
4417,"Adventure, Comedy"
3059,Chris Stokes
119,"Beatriz Batarda, Mia Farrow, Ana Bustorff, Miguel Guilherme, Nuno Lopes, Kristýna Kohoutová"
3524,Frank Coraci
4345,Horror
8603,1945
5205,Not provided in the context.
7493,1940
1803,"Gary Oldman, Vanessa Redgrave, Alfred Molina, Wallace Shawn"
4002,Action
7461,1999
