,Model
14,"1972, 1981"
19,"Movie, Comedy"
27,Gerd Oswald did not co-direct any films with anyone in the given context.
31,"Robert Zemeckis, Mitchell Leisen"
47,"Scarecrows, The Hills Have Eyes Part II, I Saw What You Did, Cujo, Pet Sematary, Thinner, Riding the Bullet, Creepshow, The Dark Half, Silver Bullet, Christine, The Shining, The Dead Zone, Dreamcatcher, Children of the Corn, The Mist"
50,Tom Savini
79,Donald Hamilton
99,"Monty Python and the Holy Grail, Unidentified Flying Oddball, Arthur, Arthur Christmas, Arthur Newman, Three Kings, The Fisher King"
101,"John Conor Brooke, Emilea Wilson, Michael Nathanson"
102,Tim Burns is not listed as a co-writer for any of the films in the context provided.
121,"1981, 1986, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 2005, 200"
149,"A Short Film About Love, What Is It?, What If..."
168,Alexander Skarsgård
169,"1971, 2012, 1987, 1951, 1948, 1957"
173,Nicholas Mosley
188,"Julian Fellowes, Gosford Park, Separate Lies, From Time to Time, The Young Victoria"
218,"French, English"
251,"Tom Berenger, Erika Marozsán, Bokeem Woodbine, Tamás Puskás, Billy Zane"
273,"Ken Loach, Peter Collinson"
280,Mennan Yapo (Premonition)
286,"Philippe Le Guay, The Man Who Loved Women, Le Beau Serge"
290,Paulette
304,2006
311,"A Short Film About Love, What Is It?, What If..."
327,Greg Iles
351,"Betty Field, Don Murray, Marilyn Monroe, Arthur O'Connell"
353,"Briana Evigan, Lemmy"
357,1988
360,Andrea Gyertson Nasfell
373,"Albert Brooks, Brendan Fraser, Michael Ritchie"
379,"A Film with Me In It, White Reindeer"
385,Jarrad Paul has no director listed in the provided context.
387,The films directed by Robert D. Webb are Adventure and Drama.
399,"Joe Johnston, Robert Zemeckis"
410,"2006, 2006"
434,"Original Sin, The Glass House"
439,John Saxon
455,"2006, 2007, 2013"
468,1997
476,"Comedy, Adventure, Fantasy, Drama"
487,Philip Seymour Hoffman
518,"1965, 1969"
533,Comedy has_genre Movie Movie
542,1959
566,"Tom Hanks, Leonardo DiCaprio, Meryl Streep"
568,"2011, 1941"
608,Not provided in the context.
708,"What, French Film, A Film with Me in It, What?"
732,"Comedy, Comedy"
735,"French, German"
736,Philippe Nahon did not write any movies.
749,"2014, 2014"
764,2010
794,"Roland Emmerich, Anonymous"
828,Ingmar Bergman
836,"Sidney J. Furie, The Boys, Iron Eagle, Iron Eagle II, The Ipcress File, Little Fauss and Big Halsy, The Boys in Company C, The Boys were written by multiple writers including Mikko Niskanen, Stephen Sewell, Gordon Graham, Stuart Douglass, Paavo Rintala, and James Doran."
862,1996
884,"1955, 1974, 1981"
902,"Irving Rapper, Val Guest"
903,2011
907,"Keanu Reeves, Sandra Bullock, Christopher Plummer"
914,"David Kross, Florian Lukas, Lachlan Nieboer"
925,"Comedy, Drama, Horror"
