,Model
7771,Comedy
11373,"Andrew Divoff, Sean Astin, Wil Wheaton"
3784,Tom Vaughan
3942,"Alexandre Rodrigues, Leandro Firmino, Douglas Silva, Sandra Corveloni, Vinícius de Oliveira"
11948,"1940 (My Favorite Wife), 1952 (The Marrying Kind), 1954 (It Should Happen to You)"
5173,Abby Everett Jaques
7077,French
12628,"Lucky McKee (The Woods, Red, The Woman)"
9815,"Oliver Reed, Bobby Driscoll"
13077,"Comedy, Drama"
7881,Alan Moore
902,Irving Rapper
12222,Neil Marshall
8526,Saul Dibb
11358,"Ewan McGregor, Sean Pertwee, Rachel Weisz, Hayley Atwell, Rupert Graves"
7976,"Drama, Sport"
8149,"Shenaz Treasury, Kunaal Roy Kapur, Imran Khan"
387,"Adventure, Western"
1385,"Christian Bale, Charlton Heston, Bobby Driscoll, Eddie Redmayne, Sean Bean"
11162,"Jasmin Tabatabai, Katja Riemann, Nicolette Krebitz, Billy Bob Thornton, Cate Blanchett, Jutta Hoffmann"
7132,"Raquel Welch, Jamie Lee Curtis, Arnold Schwarzenegger"
7536,Russian
8689,"Jane Campion, David Fincher"
2499,"The Abyss, Avatar, True Lies, Aliens, Strange Days, The Terminator"
4110,Comedy
6951,"Rosalind Wiseman, Michael McCullers"
10881,"Drama, Crime"
3485,"Tennessee Williams, A Streetcar Named Desire, Suddenly, Last Summer, Boom!"
13481,"Curt Siodmak, Lester Cole"
8883,"Bill Bailey, Felicity Jones (Chalet Girl), Sandra Bullock (All About Steve), Bradley Cooper (All About Steve), Thomas Haden Church (All About Steve)"
11793,"Michael Caine, Basil Rathbone, Nancy Allen, Angie Dickinson, Keith Gordon"
1035,"Kris Pearn, Cody Cameron"
8825,"Roman Polanski, Susanne Bier"
12436,2014
12019,"Comedy, War"
6259,David Michôd
518,"1965, 1969"
7959,Teena Booth
14523,"Lori Heuring, Kelly McGillis, Jon DeVries, Adrian Pasdar, Tiffany"
2984,"Akiva Goldsman, Sylvia Nasar"
12363,"Dejan Čelar, Alfred Drayton, and Mathieu Amalric (actors in The Life of Emile Zola also appear in other films)"
357,1988
