,Model
7771,Western
11373,"Wishmaster, The Rage, Toy Soldiers"
3784,Not specified in the context.
3942,Not provided (screenplays don't typically include cast information)
11948,"Born Yesterday (1946), It Should Happen to You (1954), Adam's Rib (1949), The Marrying Kind (1959), Pat and Mike (1952), A Double Life (1947), My Favorite Wife (1940), Bachelor Mother (1939)"
5173,Seraphim Falls
7077,"French, English"
12628,"The movies ""A Quiet Place"" and ""A Quiet Place Part II"" have the same screenwriter as ""May""."
9815,Treasure Island
13077,"Horror, Drama"
7881,"Alan Moore, Dan Abnett, Andy Diggle, and John Higgins (depending on the specific movies)"
902,Not specified in the context.
12222,Neil Marshall
8526,Saul Dibb
11358,"The Land Girls, The Sweeney, Blue Juice, Different for Girls"
7976,Invincible's genre (plural if multiple)
8149,"Imran Khan, Kunaal Roy Kapur, Poorna Jagannathan"
387,"Western, Adventure"
1385,Not provided in the context
11162,"Altiplano, Bandits"
7132,"Arnold Schwarzenegger, Michael Caine, Tom Arnold, and Emma Samms (for True Lies), various animals (for the Animal movie)"
7536,Russian
8689,The Social Network (director is not specified in the context)
2499,James Cameron
4110,"Comedy, Drama, Romance"
6951,"Steve Carell (Date Night), Michael McCullers (The Invention of Lying), Lorne Michaels (Baby Mama, Mean Girls)"
10881,"Sci-fi, Drama"
3485,"Tennessee Williams, Meade Roberts"
13481,Information about the screenwriter for the movies starred by John Sutton is not provided in the context.
8883,"Sandra Bullock, Brooke Shields, Tamsin Egerton, Ed Westwick, Bill Nighy, Josh Herdman, Daniel Mays, Dougray Scott, Emily Watson, James Cosmo, Alistair Petrie, Rupert Grint, Oscar Kennedy, Charlotte Riley, Celia Imrie, Christopher Lee, Jim Broadbent, Ben Kingsley, Donald Sutherland, Michael Caine, Tom Hardy, Olga Kurylenko, Emily Blunt, Rupert Everett, Edward Fox, Phyllis Logan, Richard Cordery, David Schofield, James Faulkner, Eleanor Tomlinson, Toby Regbo, Eddie Marsan, David Harewood, Kevin McNally, Robert Carlyle, Salma Hayek, Judi Dench, Josh Hutcherson, Brian Cox, Danny Huston, Michael Sheen, Christopher Walken, Keira Knightley, Jack Whitehall, Martin Freeman, David Tennant, Emily Watson, Eddie Izzard, Bill Bailey, Miranda Richardson, Paul Bettany, Ben Whishaw, Tom Hollander, James Corden, Michael Gambon, Jim Carter, Imelda Staunton, Timothy Spall, Ralph Fiennes, Judi Dench, Sienna Miller, Ray Winstone, Eddie Marsan, Tom Courtenay, Toby Jones, John Hurt, Christopher Lee, Richard Griffiths, Simon Callow, Timothy Spall, Michael Gambon, Judi Dench, Maggie Smith, Jim Broadbent, Brendan Gleeson, Ewan McGregor, Bill Nighy, Emily Blunt, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith, Michael Gambon, Judi Dench, Jim Broadbent, Maggie Smith,"
11793,"Michael Caine, Basil Rathbone, Nancy Allen, Angie Dickinson, Keith Gordon"
1035,"Steve Oedekerk (Cloudy with a Chance of Meatballs), Cody Cameron and Kris Pearn (Cloudy with a Chance of Meatballs 2)"
8825,The Raven
12436,White God released date isn't specified in the context.
12019,"Crime, War, Adventure, Comedy"
6259,David Michôd
518,"1975, 1971"
7959,"Stephen Amell (directed) Amish Grace, not provided (wrote)"
14523,The context does not provide information about the actors in Mary Lambert's films.
2984,"Akiva Goldsman, Sylvia Nasar"
