,Model
7771,Comedy
11373,"Andrew Divoff, Wil Wheaton, Erin Brown"
3784,Tom Vaughan
3942,"Alexandre Rodrigues, Douglas Silva, Sandra Corveloni, Vinícius de Oliveira"
11948,"1940, 1941, 1942, 1949, 1950, 1954, 1969, 1993"
5173,"Michael Wincott, Abby Everett Jaques"
7077,English
12628,"The movies ""The Sixth Sense"" and ""Signs"" have the same screenwriter as ""May""."
9815,"Christopher Lee, Oliver Reed"
13077,"Drama, Comedy"
7881,Alan Moore
902,Irving Rapper
12222,Joel Schumacher
8526,Richard LaGravenese
11358,"Ewan McGregor, Rachel Weisz, John Cusack"
7976,"Anna Karenina, The Passion of Anna, Anna and the King, Anna and the King of Siam, Anna Christie, Four Nights with Anna"
8149,"Shenaz Treasury, Kunaal Roy Kapur, Imran Khan"
387,Western
1385,"Christian Bale, Charlton Heston, Oliver Reed, Eddie Redmayne, Christopher Lee"
11162,"Tabu, Bandits"
7132,"Animal, Raquel Welch (Bandolero!)"
7536,Russian
8689,"Jane Campion, David Fincher"
2499,"James Cameron, Cameron Crowe, Richard LaGravenese"
4110,Comedy
6951,"Mark Waters, Shawn Levy"
10881,"Drama, Crime"
3485,"Tennessee Williams, The Fugitive Kind, Career"
13481,"Will Jason, James V. Kern"
8883,"Christian Bale, Sandra Bullock, Bill Bailey"
11793,"Dressed to Kill, Killers, Hard to Kill, Dead Man's Shoes, Point Blank, Deathtrap, Gambit, Brain Dead, Rampage, The Expendables, Dead Calm, Sleuth, Play Dirty, Body Double, The House That Dripped Blood, Madhouse, The Dogs of War, The Final Countdown, The Bounty, Reservoir Dogs, The Killers, The Eagle, Shoot to Kill, Killer Elite, Unstoppable, Fatal Instinct, The Sting, Puss in Boots, The Postman, The Incident, Jumanji, The Year of Living Dangerously, The Razor's Edge, The Killer Elite, The Bad and the Beautiful, The Ladykillers, The Conspirator, The Oxford Murders, Bolt, The Call, Machete, The Game, Cape Fear, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War, The Dogs of War,"
1035,"Kris Pearn, not Ron Barrett"
8825,"Roman Polanski, Susanne Bier"
12436,2012
12019,"Comedy, Action, Adventure"
6259,Peter Hyams
518,"1965, 1969"
7959,Gregg Champion (Amish Grace)
14523,"Mary Lambert, Lori Heuring, Jon DeVries"
2984,"Akiva Goldsman, A.I. Artificial Intelligence, The Da Vinci Code, I Am Legend, Winter's Tale, Batman & Robin, Lost in Space, Rent, The Dark Tower, The Day After Tomorrow, The Time Traveler's Wife, I, Robot, Angels & Demons, The Dawn of the Dead, The Last Samurai, The Core, The Break-Up, The Secret Life of Walter Mitty, The Wolfman, The Debt, Contagion, The Debt, The Hunger Games: Catching Fire, The Hunger Games: Mockingjay - Part 1, The Hunger Games: Mockingjay - Part 2, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games: The Ballad of Songbirds and Snakes, The Hunger Games:"
