,Model
894,"Park Guell, Sagrada Familia, none of the given entities died."
1329,Brazil
1235,"Paraguay, Bolivia, Uruguay, Chile, Brazil, Peru, Suriname, Guyana, Argentina (itself)"
1778,"Burkina Faso, Niger, Nigeria, Benin, Mali, Chad, Guinea-Bissau, Congo, Côte d'Ivoire, Senegal, Gambia, Guinea, and Togo."
1471,Radcliffe College (1879) and Yale University (1956)
2151,"The Last Song, Bolt, Big Fish, Sex and the City 2, Hannah Montana: The Movie"
1538,Harvard_University
3406,"""The Last Song, Extraction"""
3332,"Belarus, Kazakhstan, Ukraine, Norway, Finland, Azerbaijan, Georgia, Mongolia, China, Poland, Latvia, Lithuania, Estonia, Norway, Sweden, Denmark-GB, Estonia, Norway, Sweden."
656,California
1141,"University_of_Leipzig, Technical_University_of_Munich"
2745,"Zombieland, Taken, The Young Victoria, Silver Linings Playbook, Bridesmaids"
1349,"Liechtenstein, Switzerland, Luxembourg"
2352,"Sydney_Airport, University_of_Sydney, Westfield_Group"
902,"Chad, Nigeria, Benin, Niger, Mali, Guinea-Bissau, Cameroon, Congo, Equatorial Guinea, Gabon, Côte d'Ivoire, Senegal, Togo, Burkina Faso, Central African Republic, South Sudan, Democratic Republic of the Congo, Angola, Botswana, Zambia"
1779,
791,"Belarus, Kazakhstan, Ukraine, Norway, Mongolia, China"
2679,
796,Miami Hurricanes
3234,"Liechtenstein, Luxembourg, Switzerland"
1382,"Argentina, Brazil"
1812,"Brazil, Chile, Uruguay, Paraguay"
175,"Abraham_Lincoln, Ulysses_S._Grant, James_Madison, James_Monroe, William_Henry_Harrison, John_Quincy_Adams, Andrew_Jackson, James_K._Polk, Theodore_Roosevelt, Franklin_D._Roosevelt, Dwight_D._Eisenhower"
1084,Edmonton Eskimos
1191,Harvard_University
1695,Missouri
839,"Harry Potter and the Deathly Hallows - Part 1, Harry Potter and the Half-Blood Prince, Harry Potter and the Order of the Phoenix, Harry Potter and the Goblet of Fire, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Chamber of Secrets, Harry Potter and the Sorcerer's Stone"
982,"The Last Song, Hannah Montana: The Movie, Bolt"
