,Model
894,"Park Guell, Sagrada Familia, none of the provided entities died."
1329,Brazil
1235,"Paraguay, Bolivia, Uruguay, Guyana, Suriname, Falkland_Islands, Brazil (depending on the border definition)"
1778,"Benin, Niger, Nigeria, Cameroon, Chad, Burkina Faso, Guinea-Bissau, Mali, Gabon, Congo, Central African Republic, Equatorial Guinea, Angola, Democratic Republic of the Congo (Kinshasa)"
1471,Radcliffe College (1879) and Yale University (1956)
2151,"Hannah_Montana:_The_Movie, Big_Fish, Bolt, The_Last_Song"
1538,"Harvard_University, Stanford_University, University_of_California,_Berkeley, Yale_University, University_of_Minnesota, Northwestern_University, University_at_Buffalo,_The_State_University_of_New_York, University_of_Toronto, Princeton_University"
3406,"""The Expendables 2, Independence Day: Resurgence"""
3332,"Belarus, Ukraine, Kazakhstan, Mongolia, Azerbaijan, Georgia, Norway, Finland, China, North Korea, Latvia, Estonia, Lithuania, Poland, Ukraine, Romania, Slovakia, Hungary, Czech Republic, Slovakia, and Moldova."
656,California
1141,Technical_University_of_Munich
2745,Pretty Little Liars (2010)
1349,"Germany, Austria-Hungary, Switzerland, Liechtenstein"
2352,"Sydney_Airport, University_of_Sydney, University_of_New_South_Wales, Westfield_Group (not an attraction, but a shopping center with large capacity)"
902,"Nigeria, Niger, Chad, Nigeria (duplicate)"
