,Model
894,"Park Guell, Sagrada Familia, none of the provided entities died."
1329,Brazil
1235,"Bolivia, Paraguay, Uruguay, Chile"
1778,"Mali, Guinea, and Nigeria"
1471,Radcliffe College (1879) and Yale University (1956)
2151,"""The Last Song, Hannah Montana: The Movie"""
1538,Georgia Tech
3406,"""Extraction, Isn't It Romantic"""
3332,"Finland, Estonia, Latvia, Norway, Poland"
656,California
1141,Leipzig University
2745,"""Pretty Little Liars (TV Series)"""
1349,"Austria, Germany"
2352,Sydney Opera House
902,"Mali, Guinea, Nigeria"
1779,"No location in the Battle of Shiloh has a population larger than 5,703,719."
791,"Finland, Estonia, Latvia, Lithuania, Belarus, Ukraine, Poland, Kazakhstan, China, Mongolia"
2679,Los Angeles (84006)
796,Miami Hurricanes
3234,"Austria, Switzerland"
1382,Brazil
1812,"Brazil, Chile"
175,Abraham Lincoln
1084,Edmonton Eskimos
1191,Iowa State University
1695,Missouri
839,"Harry Potter and the Deathly Hallows - Part 1, Harry Potter and the Half-Blood Prince, Harry Potter and the Order of the Phoenix, Harry Potter and the Goblet of Fire, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Chamber of Secrets, Harry Potter and the Sorcerer's Stone"
982,"Hannah Montana, Big Fish, LOL"
1359,Walt Whitman
2990,"Finland, Estonia, Latvia, Lithuania, Belarus, Ukraine, Poland, Kazakhstan, Mongolia, China, Norway, Azerbaijan, Georgia, Turkey, Moldova, Romania"
2113,"Museo del Prado, Reina Sofia Museum"
1754,"Harry Potter and the Sorcerer's Stone, Harry Potter and the Chamber of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Goblet of Fire"
1668,Egypt
856,Bob Marley
3152,"Santa Fe, New Mexico"
961,Minneapolis
1291,Nigeria
1856,"Egypt, Morocco, Algeria, Tunisia, Libya, Sudan"
1949,John Burroughs
1166,LSU (Louisiana State University)
2311,Colby College
1535,"India, Myanmar (Burma)"
726,"Bolivia, Paraguay, Brazil"
1219,Walt Whitman's poetry was influenced by Ralph Waldo Emerson.
1625,"Finland, Norway, Estonia, Latvia, Lithuania, Poland, Belarus, Ukraine, Kazakhstan, China, Mongolia, North Korea, South Korea, Japan, and the United States do not have country calling codes greater than 375. Therefore, no country bordering Russia has a country calling code greater than 375."
1064,"Czech Republic, Germany"
3324,Tuskegee Institute (not specified if it had more than 42 undergraduates at the time Carver attended)
1150,Georgetown University
1684,"De Smet, SD"
2153,California
664,Countries with country calling codes higher than 966 do not speak Arabic as their primary language.
1680,Montreal Canadiens (Hockey)
1736,Abraham Lincoln
1286,Abraham Lincoln
1429,"""Hunt for the Wilderpeople, The Dressmaker"""
1231,"The Hunger Games (2012), Independence Day: Resurgence (2016)"
873,"United Kingdom, Germany, France, Spain, Italy, Poland, Netherlands, Belgium, Sweden, Denmark, Austria, Switzerland, Greece, Czech Republic, Hungary, Romania, Slovakia, Slovenia, Estonia, Latvia, Lithuania, Finland, Ireland, Croatia, Cyprus, Malta, Portugal, Bulgaria"
1700,"Tuskegee Institute, Simpson College"
1228,"Bolivia, Paraguay, Uruguay"
3284,"Kettle Style, CA"
680,Chelsea FC
3307,"Brazil, Chile"
1348,655030047001
2321,Nigeria
1720,Ralph Waldo Emerson
3014,New England Patriots
2960,Egypt
697,University of Connecticut
842,"Edgar Allan Poe, Ralph Waldo Emerson"
3294,"Santa Fe, New Mexico"
655,Real Madrid
878,Sporting CP
1261,Hungary
1747,Abraham Lincoln
2377,Chelsea FC
669,"Santa Fe, New Mexico"
1855,"Hungary, Poland, Ukraine, Austria, Czech Republic"
3325,"""Extraction, Midnight Sun"""
2568,"""Battleship (2012)"""
1521,"Hungary, Austria, Poland, Ukraine, and Czech Republic"
1443,"Littleton City Hall, Denver County Building"
1918,"""The Night Before, Black Mirror: Season 4"""
1380,"Algeria, Iraq, Jordan, Kuwait, Lebanon, Morocco, Palestine, Qatar, Saudi Arabia, Syria, Tunisia, United Arab Emirates, Yemen"
