,Model
894,"Park Güell, Sagrada Família, Casa Batlló, Casa Milà were all inspired by Antoni Gaudi, but none of them died later than 17 September 1879."
1329,Brazil
1235,"Paraguay, Bolivia, Uruguay, Guyana, Suriname, Falkland_Islands, Brazil (with a border disputed by Argentina)"
1778,"Benin, Niger, Nigeria, Chad, Cameroon, Guinea-Bissau, Mali, Burkina Faso, Gabon, Congo, Central African Republic, Sudan"
1471,Radcliffe College (1879) and Yale University (1956)
2151,"The Last Song, Bolt, Big Fish, Sex and the City 2, Hannah Montana: The Movie"
1538,Stanford_University
3406,"""Extraction, Isn't It Romantic"""
3332,"Belarus, Kazakhstan, Ukraine, Norway, Azerbaijan, Mongolia, China, Finland, Georgia, North Korea, Latvia, Poland, Estonia, Lithuania, Slovakia, Hungary, Romania, Moldova, Turkey, and Kyrgyzstan."
656,California
1141,Ruprecht_Karl_University_of_Heidelberg
2745,A Cinderella Story: Once Upon a Song (2011)
1349,"Germany, Austria-Hungary, Switzerland, Belgium, Luxembourg, Denmark-GB, Netherlands"
2352,"Allstadium Australia, Qudos Bank Arena, and ANZ Stadium have venue capacities greater than 5738."
902,"Nigeria, Niger, Chad, Benin, Burkina Faso, Mali, Guinea-Bissau, Congo, Equatorial Guinea, Cameroon, Central African Republic, Democratic Republic of the Congo, Angola, Gabon, Sudan"
1779,"Shiloh (not specified as a location in the context) is not mentioned to have a population, so it cannot be determined if it has a population larger than 5703719."
791,"Azerbaijan, Kazakhstan, Latvia, North Korea, Norway, Poland, China"
2679,Los Angeles (84006)
796,University_of_Miami
3234,"Luxembourg, Liechtenstein"
1382,"Argentina, Brazil, Chile, Peru"
1812,"Brazil, Uruguay, Paraguay"
175,"Walt_Whitman, Ulysses_S._Grant, William_Henry_Harrison, Abraham_Lincoln, James_Monroe, James_Madison, Andrew_Jackson, John_Quincy_Adams, William_Howard_Taft"
1084,Edmonton Eskimos
1191,Harvard_University
1695,Missouri
839,"Harry Potter and the Deathly Hallows - Part 1, Harry Potter and the Half-Blood Prince, Harry Potter and the Order of the Phoenix, Harry Potter and the Goblet of Fire, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Chamber of Secrets, Harry Potter and the Sorcerer's Stone"
982,"The Last Song, Hannah Montana: The Movie, Bolt"
