,Model
894,"Park Guell, Sagrada Familia, none of the given entities died."
1329,Brazil
1235,"Paraguay, Bolivia, Uruguay, Chile, Brazil, Peru, Suriname, Guyana, Argentina (itself does not border itself)"
1778,"Burkina_Faso, Niger, Benin, Nigeria, Mali, Guinea, Côte_d'Ivoire, Chad, Cameroon, Equatorial_Guinea, Congo, Democratic_Republic_of_the_Congo, Gabon, Central_African_Republic, South_Sudan, Angola, Congo (Brazzaville), Togo, Burundi, Rwanda, Uganda, Sudan, South_Sudan, Zambia, Mozambique."
1471,Radcliffe College (1879) and Yale University (1956)
2151,"The Last Song, Bolt, Big Fish, Sex and the City 2, Hannah Montana: The Movie"
1538,"Harvard_University, University_of_California,_Berkeley, Stanford_University, University_of_Miami, University_of_Westminster, Princeton_University, California_State_Polytechnic_University,_Pomona, University_of_Washington, University_of_Southern_California, University_of_Oxford, University_of_Cambridge, University_of_Minnesota, Northwestern_University, Yale_University, Tufts_University, University_of_Southern_Mississippi, University_of_Colorado_Boulder, University_of_Kent, University_of_Hull, University_of_Sheffield, University_of_Rochester, University_of_St_Andrews, University_of_Oxford, University_of_Rhode_Island, University_of_California,_Northridge, University_of_Kentucky, University_of_Houston, University_of_Illinois_at_Urbana-Champaign, University_of_Michigan, University_of_Pennsylvania, University_of_Virginia, University_of_North_Carolina_at_Chapel_Hill, University_of_Texas_at_Austin, University_of_Georgia, University_of_Florida, University_of_Miami_Ohio, University_of_Iowa, University_of_Wisconsin-Madison, University_of_Minnesota_Twin_Cities, University_of_Indiana_Bloomington, University_of_Maryland_College_Park, University_of_Pittsburgh, University_of_Michigan_Ann_Arbor, University_of_California_Los_Angeles, University_of_California_San_Diego, University_of_California_Santa_Barbara, University_of_Arizona, University_of_Nebraska-Lincoln, University_of_Kansas, University_of_Missouri, University_of_Kansas_Lawrence, University_of_Iowa_Law_School, University_of_Illinois_Urbana-Champaign_College_of_Law, University_of_Minnesota_Law_School, University_of_Pennsylvania_Law_School, University_of_Virginia_School_of_Law, University_of_North_Carolina_School_of_Law, University_of_Texas_School_of_Law, University_of_Georgia_School_of_Law, University_of_Florida_Levin_College_of_Law, University_of_Miami_School_of_Law, University_of_Arizona_James_E_Rogers_College_of_Law, University_of_Nebraska_College_of_Law, University_of_Kansas_School_of_Law, University_of_Missouri_School_of_Law, University_of_Iowa_College_of_Law, University_of_Illinois_College_of_Law, University_of_Minnesota_Law_School, University_of_Pennsylvania_Law_School, University_of_Virginia_School_of_Law, University_of_North_Carolina_School_of_Law, University_of_Texas_School_of_Law, University_of_Georgia_School_of_Law, University_of_Florida_Levin_College_of_Law, University_of_Arizona_James_E_Rogers_College_of_Law, University_of_Nebraska_College_of_Law, University_of_Kansas_School_of_Law, University_of_Missouri_School_of_Law, University_of_Iowa_College_of_Law, University_of_Illinois_College_of_Law, University_of_Minnesota_Law_School, University_of_Pennsylvania_Law_School, University_of_Virginia_School_of_Law, University_of_North_Carolina_"
3406,"""The Last Song, Independence Day: Resurgence"""
3332,"Belarus, Kazakhstan, Azerbaijan, Georgia, North_Korea, Mongolia, China, Finland, Norway"
656,California
1141,Technical_University_of_Munich
2745,Pretty Little Liars (2010)
1349,"Liechtenstein, Switzerland, Belgium, Luxembourg"
2352,"Sydney_Airport, University_of_Sydney, Official_Website (Sydney_Airport)"
902,"Nigeria, Mali, Niger, Benin, Burkina Faso, Chad, and Cameroon"
1779,"Shiloh does not have a population. It is a location, not a city or town."
791,"Belarus, Kazakhstan, Ukraine, Norway, Mongolia, China, Finland, Poland, North Korea"
2679,Los Angeles (84006)
796,Miami_Hurricanes_football
3234,"Liechtenstein, Luxembourg, Switzerland"
1382,Brazil
1812,"Brazil, Chile, Uruguay"
175,"Walt_Whitman, George_Washington, James_Monroe, Andrew_Jackson, James_Madison, William_Henry_Harrison, James_K._Polk, Theodore_Roosevelt, William_Howard_Taft, Ulysses_S._Grant, Charles_de_Gaulle"
1084,Edmonton Eskimos
1191,Not provided in the context.
1695,Missouri
839,"Harry Potter and the Deathly Hallows - Part 1, Harry Potter and the Half-Blood Prince, Harry Potter and the Order of the Phoenix, Harry Potter and the Goblet of Fire, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Chamber of Secrets, Harry Potter and the Sorcerer's Stone"
982,"The Last Song, Hannah Montana: The Movie, Bolt"
1359,"D._H._Lawrence, Richard_Rorty, Oscar_Wilde, T._S._Eliot, Ezra_Pound, Jack_Kerouac, Ralph_Waldo_Emerson, Allen_Ginsberg, Jorge_Luis_Borges, Bob_Dylan"
2990,"Estonia, Latvia, Lithuania, Finland, Norway, Poland, Belarus, Ukraine, Kazakhstan, Azerbaijan, Mongolia, China, North Korea, Georgia, and Norway (with Svalbard and Jan Mayen)"
2113,"Museo_Nacional_Del_Prado, Official_Website"
