,Model
894,"Park Güell, Sagrada Familia, Casa Batlló"
1329,"Brazil, Chile"
1235,"Paraguay, Bolivia, Uruguay, Chile, Peru, Brazil"
1778,"Mali, Guinea, Nigeria"
1471,Radcliffe College (1879) and Yale University (1956)
2151,"""The Last Song, Hannah Montana: The Movie"""
1538,Duke University
3406,"""The Expendables 2, Independence Day: Resurgence"""
3332,"Finland, Estonia, Latvia, Norway, Poland"
656,California
1141,Leipzig
2745,"""Pretty Little Liars (TV Series)"""
1349,"Austria, Switzerland"
2352,Sydney Opera House
902,"Nigeria, Mali, Guinea"
1779,No location mentioned in the context has a population larger than 5703719.
791,"Finland, Estonia, Latvia, Lithuania, Belarus, Ukraine, Poland, Kazakhstan, Azerbaijan, Georgia, Mongolia, China, North Korea"
2679,Los Angeles (84006)
796,Miami Hurricanes
3234,"Austria, Liechtenstein, Luxembourg"
1382,Brazil
1812,"Brazil, Chile"
175,Abraham Lincoln
1084,Edmonton Eskimos
1191,Iowa State University
1695,Missouri
839,"Harry Potter and the Deathly Hallows - Part 1, Harry Potter and the Half-Blood Prince, Harry Potter and the Order of the Phoenix, Harry Potter and the Goblet of Fire, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Chamber of Secrets, Harry Potter and the Sorcerer's Stone"
982,"Hannah Montana, The Last Song, LOL"
1359,Walt Whitman
2990,"Finland, Estonia, Latvia, Lithuania, Poland, Belarus, Ukraine, Kazakhstan, Mongolia, China, North Korea, Japan, Norway, and Georgia."
2113,"Prado Museum, Reina Sofia Museum, and Thyssen-Bornemisza Museum"
1754,The answer is not provided in the given context.
1668,Egypt
856,"Lou Reed, Bob Marley, John Lennon"
3152,"Santa Fe, New Mexico"
961,Hibbing
1291,Nigeria
1856,"Egypt, Morocco, Algeria, Tunisia, Sudan, Libya, Yemen, Saudi Arabia, Kuwait, Iraq, Jordan, Palestine, Lebanon, Syria, Oman, United Arab Emirates, Bahrain, Qatar, Djibouti, Mauritania, Somalia, Comoros, and Western Sahara."
1949,"Walt Whitman, caused to lose employment by Gerard Hermann, who also influenced his poetry."
1166,Louisiana State University
2311,Columbia College of Missouri
1535,"India, Myanmar (Burma)"
726,"Bolivia, Paraguay, Brazil"
1219,Walt Whitman's poetry was influenced by Ralph Waldo Emerson.
1625,"Finland, Norway, Sweden, Estonia, Latvia, Lithuania, Poland, Belarus, Ukraine, Kazakhstan, Mongolia, China, North Korea, and Japan."
1064,"Czech Republic, Germany"
3324,"Simpson College did not have more than 42 undergraduates, while Iowa Agricultural College (Iowa State University) did."
1150,Georgetown University
1684,"De Smet, SD"
2153,California
664,Countries with country calling codes higher than 966 do not speak Arabic as their primary language.
1680,Montreal Canadiens (Hockey)
1736,Abraham Lincoln
1286,Abraham Lincoln
1429,"""Hunt for the Wilderpeople, The Dressmaker"""
1231,"The Hunger Games (2012), Independence Day: Resurgence (2016)"
873,"Poland, Germany, United Kingdom, France, Italy, Spain, Denmark, Netherlands, Belgium, Austria, Sweden, Switzerland, Greece, Czech Republic, Hungary, Romania, Slovakia, Slovenia, Croatia, Estonia, Latvia, Lithuania, Finland, Ireland, Cyprus, Malta, Portugal"
1700,"Tuskegee Institute, Simpson College"
1228,"Bolivia, Paraguay, Uruguay"
3284,"Kettle Style, CA"
680,Chelsea FC
3307,"Brazil, Chile, and Paraguay have armies larger than 713,480 people."
1348,655038545054
2321,Nigeria
1720,Abraham Lincoln
3014,New England Patriots
2960,Egypt
697,University of Southern California (USC)
842,"Walt Whitman was influenced by Edward Taylor, who died on March 25, 1752."
