,Model
894,"Park Guell, Sagrada Familia, none of the provided entities died."
1329,Brazil
1235,"Paraguay, Bolivia"
1778,"Burkina_Faso, Benin, Niger, Mali, Guinea, Senegal, Côte_d'Ivoire, Chad, Liberia, Sierra_Leone"
1471,Radcliffe College (1879) and Yale University (1956)
2151,"The Last Song, Bolt, Big Fish, Sex and the City 2"
1538,"Stanford_University, University_of_California,_Berkeley, University_of_Michigan, University_of_Cambridge, University_of_Oxford, University_of_Melbourne, Massachusetts_Institute_of_Technology, University_of_California,_Irvine, University_of_California,_San_Diego, University_of_California,_Berkeley, University_of_Texas_at_Austin, Columbia_University, University_of_Arizona, University_of_California,_Santa_Cruz, University_of_California,_Irvine, University_of_California,_San_Diego, University_of_California,_Berkeley, University_of_Texas_at_Austin, University_of_Michigan, University_of_Cambridge, University_of_Oxford, University_of_Melbourne, Massachusetts_Institute_of_Technology, University_of_California,_Irvine, University_of_California,_San_Diego, University_of_California,_Berkeley, University_of_Texas_at_Austin, Columbia_University, University_of_Arizona, University_of_California,_Santa_Cruz, University_of_California,_Irvine, University_of_California,_San_Diego, University_of_California,_Berkeley, University_of_Texas_at_Austin, University_of_Michigan, University_of_Cambridge, University_of_Oxford, University_of_Melbourne, Massachusetts_Institute_of_Technology, University_of_California,_Irvine, University_of_California,_San_Diego, University_of_California,_Berkeley, University_of_Texas_at_Austin, University_of_California,_Berkeley, University_of_Texas_at_Austin, University_of_Michigan, University_of_Cambridge, University_of_Oxford, University_of_Melbourne, Massachusetts_Institute_of_Technology, University_of_California,_Irvine, University_of_California,_San_Diego, University_of_California,_Berkeley, University_of_Texas_at_Austin, University_of_California,_Berkeley, University_of_Texas_at_Austin, University_of_Michigan, University_of_Cambridge, University_of_Oxford, University_of_Melbourne, Massachusetts_Institute_of_Technology, University_of_California,_Irvine, University_of_California,_San_Diego, University_of_California,_Berkeley, University_of_Texas_at_Austin, University_of_California,_Berkeley, University_of_Texas_at_Austin, University_of_Michigan, University_of_Cambridge, University_of_Oxford, University_of_Melbourne, Massachusetts_Institute_of_Technology, University_of_California,_Irvine, University_of_California,_San_Diego, University_of_California,_Berkeley, University_of_Texas_at_Austin, University_of_California,_Berkeley, University_of_Texas_at_Austin, University_of_Michigan, University_of_Cambridge, University_of_Oxford, University_of_Melbourne, Massachusetts_Institute_of_Technology, University_of_California,_Irvine, University_of_California,_San_Diego, University_of_California,_Berkeley, University_of_Texas_at_Austin, University_of_California,_Berkeley, University_of_Texas_at_Austin, University_of_Michigan, University_of_Cambridge, University_of_Oxford, University_of_Melbourne, Massachusetts_Institute_of_Technology, University_of_California,_Irvine, University_of_California,_San_Diego, University_of_California,_Berkeley, University_of_Texas_at_Austin, University_of_California,_Berkeley, University_of_Texas_at_Austin, University_of_Michigan, University_of_Cambridge"
3406,"""The Expendables 2, Independence Day: Resurgence, and The Hunger Games: Mockingjay Part 1, Part 2"""
3332,"Belarus, Latvia, Poland, Lithuania, Norway, Ukraine, Finland, Estonia, Kazakhstan, Mongolia, China, Azerbaijan, Georgia, North Korea, and Norway."
656,California
