,Model
894,"Sagrada Familia, Park Guell"
1329,Brazil
1235,"Paraguay, Bolivia"
1778,"Mali, Guinea, and Nigeria"
1471,Radcliffe College (1879) and Yale University (1956)
2151,"""Hannah Montana: The Movie, The Last Song"""
1538,Stanford University
3406,"""The Last Song, Independence Day: Resurgence"""
3332,"Finland, Estonia, Latvia, Lithuania, Poland, Belarus, Ukraine, Moldova, Romania, Hungary, Slovakia, Czech Republic, Germany, Norway, Sweden, Denmark, and Estonia."
656,California
1141,Leipzig
2745,Pretty Little Liars (2010)
1349,"Austria, Belgium, Germany, Luxembourg"
2352,Allianz Stadium
902,"Mali, Guinea, Nigeria"
1779,"Nashville, not Shiloh (Shiloh's population is less than 5703719)"
791,"Finland, Ukraine, Belarus, Kazakhstan, China"
2679,Los Angeles (84006)
796,Miami Hurricanes
3234,"Austria, Liechtenstein, Luxembourg, Switzerland"
1382,Brazil
1812,"Brazil, Chile"
175,Abraham Lincoln
1084,Edmonton Eskimos
1191,Iowa State University
1695,Missouri
839,"Harry Potter and the Deathly Hallows - Part 1, Harry Potter and the Half-Blood Prince, Harry Potter and the Order of the Phoenix, Harry Potter and the Goblet of Fire, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Chamber of Secrets, Harry Potter and the Sorcerer's Stone"
982,"""Hannah Montana, The Last Song, and LOL"""
1359,Walt Whitman
2990,"Finland, Estonia, Latvia, Lithuania, Belarus, Ukraine, Kazakhstan, Mongolia, China"
2113,"Reina Sofia Museum, Prado Museum, Thyssen-Bornemisza Museum"
1754,"Harry Potter and the Sorcerer's Stone, Harry Potter and the Chamber of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Goblet of Fire"
1668,Egypt
856,"Lou Reed, David Bowie"
3152,"Santa Fe, New Mexico"
961,Hometown of Bob Dylan (not specified in context) has a GNS feature ID less than 661145.
1291,Nigeria
1856,"Egypt, Morocco, Algeria, Tunisia, Saudi Arabia, Jordan, Kuwait, Yemen, Iraq, Palestine, Libya, Sudan"
1949,John Addams Granniss
1166,Louisiana State University
2311,Temple University
1535,"India, Myanmar (Burma)"
726,"Bolivia, Paraguay, Brazil"
1219,Walt Whitman was influenced by Ralph Waldo Emerson
1625,"Belarus, Kazakhstan, China, Finland, Norway, Mongolia, Azerbaijan, Georgia, Ukraine, Estonia, Latvia, Lithuania, Poland, Germany, Denmark, Sweden, and the United States do not have country calling codes greater than 375. Therefore, the only country bordering Russia with a country calling code greater than 375 is Belarus."
1064,"Germany, Austria, Switzerland"
3324,"Simpson College did not have more than 42 undergraduates, so George Washington Carver did not attend there."
1150,Georgetown University
1684,"De Smet, SD"
2153,California
664,Countries with country calling codes higher than 966 do not speak Arabic as their primary language.
1680,"Montreal Canadiens (Hockey, founded in 1909)"
1736,Abraham Lincoln
1286,Abraham Lincoln
1429,"""Hunt for the Wilderpeople, The Dressmaker"""
1231,"The Hunger Games (2012), Independence Day: Resurgence (2016)"
873,"United Kingdom, Germany, France, Italy, Spain"
1700,"Tuskegee Institute, Simpson College"
1228,"Bolivia, Paraguay, Uruguay"
3284,"Kaufman County, Texas"
680,Chelsea FC
3307,"Brazil, Chile"
1348,6550365
2321,Nigeria
1720,Abraham Lincoln
3014,New England Patriots
2960,Egypt
697,University of Connecticut (UConn)
842,"Walt Whitman was influenced by Leaves of Grass, which was published anonymously in 1855, not by a person."
3294,"Santa Fe, New Mexico"
655,Manchester United
878,Sporting CP
1261,"Hungary, Ukraine"
1747,Ralph Waldo Emerson
2377,Chelsea FC
669,"Santa Fe, New Mexico"
1855,"Hungary, Poland, Ukraine, Austria"
3325,"""Extraction, Midnight Sun"""
2568,"""Battleship (2012)"""
1521,"Hungary, Poland, Ukraine, Austria"
1443,"Littleton City Hall, City of Littleton, established in 1960."
1918,"""The Disaster Artist, Black Mirror: Bandersnatch"""
1380,"Algeria, Egypt, Iraq, Jordan, Kuwait, Lebanon, Libya, Morocco, Palestine, Saudi Arabia, Syria, Tunisia, United Arab Emirates, Yemen"
1926,"Jean-Michel Basquiat, Candy Darling, Edie Sedgwick, Bob Dylan, Allen Ginsberg, Jack Kerouac, Marilyn Monroe, Albert Kennedy, Gerard Malanga, Billy Name, Lou Reed, Paul Morrissey, Ultra Violet, Freddie Herko, Superstar, Ondine, Ingrid Superstar, International Velvet, Baby Jane Holzer, Nico, Teddy Boy, Mario Montez, Viva, Mary Woronov, Taylor Mead, Ronald Tavel, Charles Laughton, Valerie Solanas, and John Giorno."
1624,"Hannah Montana (2006), Big Fish (2003)"
3326,Colorado (before 1899)
1840,"8020297, 8005728, 7011238, 8010038, 7011259, 8010048, 7011260, 8010058, 7011261, 8010067, 7011262, 8010076, 7011263, 8010085, 7011264, 8010094, 7011265, 8010102, 7011266, 8010110, 7011267, 8010118, 7011268, 8010126, 7011269, 8010134, 7011270, 8010142, 7011271, 8010150, 7011272, 8010158, 7011273, 8010166, 7011274, 8010174, 7011275, 8010182, 7011276, 8010190, 7011277, 8010198, 7011278, 8010206, 7011279, 8010214, 7011280, 8010222, 7011281, 8010230, 7011282, 8010238, 7011283, 8010246, 7011284, 8010254, 7011285, 8010262, 7011286, 8010268, 7011287, 8010274, 7011288, 8010280, 7011289, 8010286, 7011290, 8010294, 7011291, 8010302, 7011292, 8010308, 7011293, 8010314, 7011294, 8010320, 7011295, 8010326, 7011296, 8010332, 7011297, 8010338, 7011298, 8010344, 7011299, 8010350, 7011300, 8010356, 7011301, 8010362, 7011302, 8010368, 7011303, 8010374, 7011304, 8010380, 7011305, 8010386, 7011306, 8010392, 7011307, 8010408, 7011308, 8010414, 7011309, 8010420, 7011310, 8010426, 7011311, 8010432, 7011312, 8010438, 7011313, 801044"
2561,Church of Ireland (Anglican)
1328,"Jordan, Palestine, Yemen"
1604,"Temple University, Swarthmore College were founded before 1884, but there's no information in the context that Jerry Spinelli attended these colleges."
1413,Manchester United
2106,"Hibbing, Minnesota, Granite Falls, Minnesota"
2969,"Djibouti, Comoros, Mauritania, Somalia"
1587,Leipzig University
1767,"China, Mongolia"
1211,"Pretty Little Liars (2010), A Cinderella Story: Once Upon a Song (2011), Scream 4 (2011), Truth or Dare (2018)"
